Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Year
12,Minnesota Timberwolves,W,M,47,35,0.573,1.35,106,104.4,1.61,1.81,106.12,104.01,2.11,2001
13,Miami Heat,E,A,50,32,0.61,2.29,101.88,99.39,2.49,1.72,101.67,99.81,1.87,2001
14,Toronto Raptors,E,C,47,35,0.573,2.26,106.64,104.23,2.41,1.69,106.62,104.83,1.79,2001
15,Charlotte Hornets,E,C,46,36,0.561,2.1,102.57,100.34,2.23,1.45,102.26,100.73,1.52,2001
16,Seattle SuperSonics,W,P,44,38,0.537,0.02,106.53,106.38,0.14,0.55,106.74,106.03,0.71,2001
17,Orlando Magic,E,A,43,39,0.524,0.99,104.05,102.99,1.06,0.38,103.9,103.51,0.39,2001
18,Indiana Pacers,E,C,41,41,0.5,-0.2,102.91,103.09,-0.18,-0.77,102.69,103.51,-0.82,2001
19,Denver Nuggets,W,M,40,42,0.488,-2.46,104.26,107.03,-2.77,-1.83,104.5,106.57,-2.07,2001
20,Detroit Pistons,E,C,32,50,0.39,-1.7,100.61,102.41,-1.79,-2.08,100.46,102.69,-2.23,2001
21,Los Angeles Clippers,W,P,31,51,0.378,-2.89,102.25,105.42,-3.17,-2.23,102.41,104.86,-2.45,2001
22,Boston Celtics,E,A,36,46,0.439,-2.13,102.41,104.8,-2.39,-2.4,102.45,105.14,-2.68,2001
23,Cleveland Cavaliers,E,C,30,52,0.366,-4.24,101.1,105.71,-4.6,-4.48,101.16,106.02,-4.87,2001
24,Vancouver Grizzlies,W,M,23,59,0.28,-5.73,100.04,106.39,-6.35,-4.94,100.24,105.72,-5.47,2001
25,New Jersey Nets,E,A,26,56,0.317,-5.05,100.78,106.41,-5.63,-5.3,100.86,106.77,-5.91,2001
26,Atlanta Hawks,E,C,25,57,0.305,-5.21,99.51,105.17,-5.66,-5.55,99.38,105.43,-6.04,2001
27,Washington Wizards,E,A,19,63,0.232,-6.67,101.43,108.65,-7.21,-6.75,101.62,108.93,-7.31,2001
28,Golden State Warriors,W,P,17,65,0.207,-9.05,98.41,108.09,-9.68,-8.11,98.68,107.34,-8.65,2001
29,Chicago Bulls,E,C,15,67,0.183,-9.1,98.12,108.33,-10.21,-9.09,98.32,108.52,-10.19,2001
1,Sacramento Kings,W,P,61,21,0.744,7.61,109.7,101.62,8.08,7.61,109.48,101.37,8.12,2002
2,Los Angeles Lakers,W,P,58,24,0.707,7.12,110.29,102.52,7.77,7.15,110.12,102.3,7.82,2002
3,San Antonio Spurs,W,M,58,24,0.707,6.21,107.35,100.38,6.97,6.27,107.06,100.01,7.05,2002
4,Dallas Mavericks,W,M,57,25,0.695,4.26,112.8,108.22,4.59,4.41,112.91,108.13,4.78,2002
5,Minnesota Timberwolves,W,M,50,32,0.61,3.38,109.79,105.97,3.82,3.58,109.78,105.73,4.05,2002
6,New Jersey Nets,E,A,52,30,0.634,4.16,104.78,100.28,4.5,3.67,104.65,100.71,3.94,2002
7,Seattle SuperSonics,W,P,45,37,0.549,3.02,109.77,106.3,3.47,3.24,109.78,106.06,3.72,2002
8,Portland Trail Blazers,W,P,49,33,0.598,2.99,108.2,104.84,3.36,3.2,108.13,104.52,3.61,2002
9,Boston Celtics,E,A,49,33,0.598,2.21,104.1,101.7,2.4,1.74,103.95,102.08,1.87,2002
10,Detroit Pistons,E,C,50,32,0.61,2.13,105.77,103.43,2.33,1.69,105.63,103.8,1.83,2002
11,Utah Jazz,W,M,44,38,0.537,0.89,106.57,105.33,1.25,1.2,106.52,104.93,1.6,2002
12,Philadelphia 76ers,E,A,43,39,0.524,1.6,103.12,101.42,1.7,1.27,103.02,101.69,1.33,2002
13,Orlando Magic,E,A,44,38,0.537,1.57,107.71,106.04,1.67,1.25,107.88,106.58,1.3,2002
14,Charlotte Hornets,E,C,44,38,0.537,0.96,105.13,104.06,1.07,0.57,105.02,104.4,0.62,2002
15,Indiana Pacers,E,C,42,40,0.512,0.27,105.09,104.59,0.5,-0.07,105.08,104.98,0.1,2002
16,Los Angeles Clippers,W,P,39,43,0.476,-0.46,106.49,106.87,-0.38,-0.09,106.51,106.47,0.05,2002
17,Phoenix Suns,W,P,36,46,0.439,-0.68,104.07,104.71,-0.64,-0.3,103.98,104.19,-0.21,2002
18,Milwaukee Bucks,E,C,41,41,0.5,-0.22,107.78,108,-0.22,-0.62,107.93,108.6,-0.68,2002
19,Toronto Raptors,E,C,42,40,0.512,-0.44,103.37,104.04,-0.67,-0.71,103.39,104.37,-0.98,2002
20,Washington Wizards,E,A,37,45,0.451,-1.4,105.67,107.16,-1.49,-1.58,105.92,107.62,-1.7,2002
21,Miami Heat,E,A,36,46,0.439,-1.54,99.28,101.15,-1.88,-1.85,99.08,101.31,-2.22,2002
22,Cleveland Cavaliers,E,C,29,53,0.354,-3.33,105.41,109.17,-3.76,-3.53,105.63,109.62,-3.99,2002
23,New York Knicks,E,A,30,52,0.366,-3.99,102.02,106.38,-4.36,-4.15,102.1,106.66,-4.56,2002
24,Atlanta Hawks,E,C,33,49,0.402,-4.23,102.72,107.4,-4.68,-4.41,102.83,107.73,-4.9,2002
25,Houston Rockets,W,M,28,54,0.341,-4.89,103.93,109.55,-5.62,-4.31,104.08,109.03,-4.95,2002
26,Golden State Warriors,W,P,21,61,0.256,-5.4,103.56,109.28,-5.71,-4.8,103.7,108.74,-5.04,2002
27,Denver Nuggets,W,M,27,55,0.329,-5.82,102.34,108.68,-6.35,-5.19,102.44,108.08,-5.64,2002
28,Memphis Grizzlies,W,M,23,59,0.28,-7.44,98.9,107.09,-8.19,-6.74,98.92,106.32,-7.4,2002
29,Chicago Bulls,E,C,21,61,0.256,-8.54,99.05,108.56,-9.51,-8.52,99.21,108.72,-9.5,2002
1,Dallas Mavericks,W,M,60,22,0.732,7.78,111.43,102.89,8.54,7.91,111.52,102.85,8.67,2003
2,Sacramento Kings,W,P,59,23,0.72,6.5,106.45,99.5,6.95,6.68,106.36,99.2,7.16,2003
3,San Antonio Spurs,W,M,60,22,0.732,5.41,106.25,100.29,5.96,5.65,106.2,99.99,6.22,2003
4,New Jersey Nets,E,A,49,33,0.598,5.22,104.42,98.8,5.62,4.42,103.93,99.18,4.75,2003
5,Detroit Pistons,E,C,50,32,0.61,3.68,104.84,100.71,4.14,2.98,104.48,101.11,3.36,2003
6,Utah Jazz,W,M,47,35,0.573,2.39,106.46,103.59,2.87,2.77,106.58,103.3,3.27,2003
7,Portland Trail Blazers,W,P,50,32,0.61,2.61,106.41,103.58,2.83,2.98,106.52,103.29,3.23,2003
8,Indiana Pacers,E,C,48,34,0.585,3.49,105.28,101.55,3.74,2.79,104.96,101.98,2.98,2003
9,Los Angeles Lakers,W,P,50,32,0.61,2.33,107.96,105.55,2.41,2.71,108.18,105.35,2.83,2003
10,Minnesota Timberwolves,W,M,51,31,0.622,2.07,106.81,104.5,2.31,2.46,106.97,104.23,2.73,2003
11,Houston Rockets,W,M,43,39,0.524,1.48,104.96,103.5,1.46,1.89,105.07,103.14,1.93,2003
12,Philadelphia 76ers,E,A,48,34,0.585,2.3,105.78,103.26,2.52,1.76,105.6,103.68,1.93,2003
13,Phoenix Suns,W,P,44,38,0.537,1.13,104.48,103.21,1.27,1.57,104.58,102.83,1.74,2003
14,New Orleans Hornets,E,C,47,35,0.573,2.11,104.61,102.28,2.33,1.52,104.36,102.68,1.69,2003
15,Seattle SuperSonics,W,P,40,42,0.488,-0.12,104.48,104.63,-0.14,0.37,104.64,104.25,0.4,2003
16,Milwaukee Bucks,E,C,42,40,0.512,0.23,109.62,109.36,0.26,-0.24,109.72,109.97,-0.25,2003
17,Orlando Magic,E,A,42,40,0.512,0.13,105.84,105.72,0.12,-0.39,105.75,106.2,-0.45,2003
18,Golden State Warriors,W,P,38,44,0.463,-1.13,109.01,110.1,-1.09,-0.59,109.45,109.96,-0.51,2003
19,Boston Celtics,E,A,44,38,0.537,-0.39,101.9,102.33,-0.43,-0.75,101.78,102.59,-0.81,2003
20,Washington Wizards,E,A,37,45,0.451,-1.01,103.82,105.06,-1.25,-1.47,103.75,105.49,-1.74,2003
21,New York Knicks,E,A,37,45,0.451,-1.35,105.34,106.81,-1.47,-1.61,105.37,107.12,-1.75,2003
22,Memphis Grizzlies,W,M,28,54,0.341,-3.23,104.47,108.08,-3.62,-2.59,104.79,107.71,-2.92,2003
23,Los Angeles Clippers,W,P,27,55,0.329,-4.12,103,107.51,-4.51,-3.44,103.3,107.07,-3.77,2003
24,Atlanta Hawks,E,C,35,47,0.427,-3.56,103.1,106.96,-3.86,-3.87,103.07,107.27,-4.19,2003
25,Chicago Bulls,E,C,30,52,0.366,-5.13,101.03,106.3,-5.27,-5.3,100.99,106.45,-5.47,2003
26,Miami Heat,E,A,25,57,0.305,-5.05,97.53,103.31,-5.78,-5.13,97.37,103.23,-5.87,2003
27,Toronto Raptors,E,C,24,58,0.293,-5.87,101.37,107.99,-6.62,-6.09,101.36,108.21,-6.85,2003
28,Denver Nuggets,W,M,17,65,0.207,-8.28,93.2,102.26,-9.06,-7.41,93.22,101.33,-8.11,2003
29,Cleveland Cavaliers,E,C,17,65,0.207,-9.62,97.25,107.48,-10.23,-9.58,97.25,107.45,-10.2,2003
1,San Antonio Spurs,W,M,57,25,0.695,7.22,103.01,94.79,8.23,7.51,102.62,94.09,8.53,2004
2,Minnesota Timberwolves,W,M,58,24,0.707,5.49,106.53,100.3,6.23,5.86,106.41,99.79,6.62,2004
3,Sacramento Kings,W,P,55,27,0.671,5.01,110.87,105.42,5.45,5.41,111.02,105.14,5.88,2004
4,Detroit Pistons,E,C,54,28,0.659,5.84,103.18,96.48,6.7,5.04,102.81,97.01,5.81,2004
5,Indiana Pacers,E,C,61,21,0.744,5.76,104.77,98.16,6.61,4.93,104.47,98.77,5.7,2004
6,Dallas Mavericks,W,M,52,30,0.634,4.44,113.01,108.1,4.92,4.86,113.3,107.92,5.37,2004
7,Los Angeles Lakers,W,P,56,26,0.683,3.9,106.23,102.06,4.16,4.35,106.2,101.54,4.65,2004
8,Memphis Grizzlies,W,M,50,32,0.61,2.44,105.56,102.97,2.6,2.95,105.58,102.41,3.16,2004
9,Houston Rockets,W,M,45,37,0.549,1.73,101.8,99.87,1.93,2.28,101.65,99.13,2.52,2004
10,New Jersey Nets,E,A,47,35,0.573,2.5,101.76,99.05,2.71,1.88,101.52,99.49,2.03,2004
11,Denver Nuggets,W,M,43,39,0.524,1.07,104.61,103.73,0.88,1.65,104.66,103.13,1.52,2004
12,Milwaukee Bucks,E,C,41,41,0.5,1.06,107.28,106.09,1.19,0.42,107.34,106.85,0.49,2004
13,Seattle SuperSonics,W,P,37,45,0.451,-0.63,108.11,108.79,-0.69,0.02,108.41,108.38,0.03,2004
14,Golden State Warriors,W,P,37,45,0.451,-0.73,103.71,104.54,-0.83,-0.07,103.8,103.91,-0.1,2004
15,Miami Heat,E,A,42,40,0.512,0.52,102.92,102.48,0.43,-0.13,102.81,103.08,-0.28,2004
16,Utah Jazz,W,M,42,40,0.512,-1.22,103.12,104.52,-1.4,-0.53,103.21,103.86,-0.65,2004
17,Portland Trail Blazers,W,P,41,41,0.5,-1.27,104.58,106.04,-1.47,-0.58,104.74,105.45,-0.71,2004
18,New Orleans Hornets,E,C,41,41,0.5,-0.1,103.36,103.47,-0.12,-0.72,103.25,104.05,-0.79,2004
19,New York Knicks,E,A,39,43,0.476,-1.48,102.39,104.02,-1.63,-1.97,102.4,104.56,-2.17,2004
20,Boston Celtics,E,A,36,46,0.439,-1.45,102.76,104.39,-1.63,-1.99,102.66,104.89,-2.23,2004
21,Phoenix Suns,W,P,29,53,0.354,-3.74,102.33,106.35,-4.02,-2.94,102.5,105.65,-3.14,2004
22,Philadelphia 76ers,E,A,33,49,0.402,-2.49,100.29,103.04,-2.76,-2.95,100.28,103.54,-3.26,2004
23,Cleveland Cavaliers,E,C,35,47,0.427,-2.62,102.1,105.05,-2.95,-3.07,102.16,105.59,-3.43,2004
24,Toronto Raptors,E,C,33,49,0.402,-3.01,97.75,101.27,-3.53,-3.41,97.65,101.61,-3.95,2004
