Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
437,Matt Thomas\thomama02,SG,26,TOR,21,0,6.9,0.9,2.2,0.391,0.6,1.5,0.387,0.3,0.7,0.4,0.522,0.2,0.3,0.833,0,0.6,0.7,0.4,0.1,0,0.2,0.4,2.5
438,Tristan Thompson\thomptr01,PF,29,BOS,34,29,22.8,3.3,6.1,0.531,0,0.1,0,3.3,6.1,0.539,0.531,1.4,2.2,0.632,3.1,5.2,8.3,1,0.4,0.4,0.9,2.1,7.9
439,Sindarius Thornwell\thornsi01,SG,26,NOP,11,1,4.8,0.5,1.2,0.462,0.3,0.5,0.5,0.3,0.6,0.429,0.577,0,0.2,0,0.1,0.2,0.3,0.2,0.4,0,0.2,0.3,1.4
440,Matisse Thybulle\thybuma01,SG,23,PHI,33,2,18.1,1.2,3.2,0.368,0.5,2,0.262,0.7,1.2,0.537,0.448,0.2,0.4,0.571,0.4,1.1,1.5,0.9,1.4,0.9,0.4,2,3.1
441,Killian Tillie\tilliki02,C,22,MEM,2,0,10.5,0.5,2,0.25,0.5,1,0.5,0,1,0,0.375,0,0,,0.5,0.5,1,0,0.5,0,0.5,2.5,1.5
442,Xavier Tillman Sr.\tillmxa01,PF,22,MEM,27,7,20.4,3,5.9,0.513,0.4,1.3,0.286,2.6,4.6,0.577,0.544,0.6,0.9,0.739,1.5,3.1,4.6,1.7,0.9,0.6,0.9,2.4,7
443,Obi Toppin\toppiob01,PF,22,NYK,27,0,12.7,1.9,4,0.486,0.5,1.6,0.295,1.4,2.3,0.619,0.547,0.4,0.5,0.714,0.3,2.1,2.5,0.6,0.3,0.4,0.6,1,4.7
444,Juan Toscano-Anderson\toscaju01,SG,27,GSW,23,13,20.6,2.3,4.1,0.564,0.7,1.5,0.429,1.7,2.6,0.644,0.644,0.6,0.8,0.722,0.7,3.8,4.5,2.2,0.6,0.5,1.1,2.1,5.8
445,Karl-Anthony Towns\townska01,C,25,MIN,16,16,32.8,7.9,15.9,0.494,1.9,5,0.375,6,10.9,0.549,0.553,4.4,4.8,0.909,3,7.9,10.9,3.9,0.9,1.7,3.2,3.8,22
446,Gary Trent Jr.\trentga02,SG,22,POR,33,20,31.2,5.5,13.1,0.423,3.1,7.5,0.406,2.5,5.6,0.446,0.539,1.1,1.4,0.778,0.6,1.6,2.2,1.5,0.8,0.2,0.7,1.6,15.2
447,P.J. Tucker\tuckepj01,PF,35,HOU,32,32,30,1.5,4.1,0.366,0.8,2.7,0.314,0.7,1.4,0.467,0.469,0.6,0.7,0.783,1,3.6,4.6,1.4,0.9,0.6,1,2.8,4.4
448,Myles Turner\turnemy01,C,24,IND,33,33,31.5,4.7,9.8,0.484,1.5,4.6,0.314,3.3,5.1,0.639,0.559,2.5,3.3,0.778,1.4,5.2,6.5,0.9,1,3.4,1.4,3.5,13.5
449,Jonas Valančiūnas\valanjo01,C,28,MEM,27,26,27.1,6.3,11.7,0.539,0.4,1,0.357,6,10.7,0.557,0.555,2.5,3.3,0.756,3.4,7.9,11.3,1.7,0.6,0.6,2.1,3.1,15.6
450,Denzel Valentine\valende01,SG,27,CHI,30,3,19.7,3.1,8.3,0.375,1.6,4.7,0.348,1.5,3.6,0.411,0.474,0.2,0.2,1,0.4,3.7,4.1,1.8,0.7,0,0.6,1.2,8
451,Jarred Vanderbilt\vandeja01,PF,21,MIN,34,17,19.2,2.5,4.1,0.612,0,0.1,0.5,2.5,4,0.613,0.615,1,1.9,0.556,1.8,3.9,5.7,1.5,1.1,0.6,1,2.1,6.1
452,Fred VanVleet\vanvlfr01,SG,26,TOR,34,34,36.7,6.6,16.6,0.4,3.4,8.8,0.383,3.3,7.9,0.419,0.501,3.5,3.9,0.894,0.7,3.8,4.4,6.6,1.7,0.8,2,2.4,20.1
453,Devin Vassell\vassede01,SF,20,SAS,26,1,17.3,1.9,4.8,0.397,1,2.4,0.397,1,2.4,0.397,0.496,0.7,0.8,0.857,0.6,2.6,3.2,1.1,1.1,0.3,0.5,1.2,5.5
454,Gabe Vincent\vincega01,PG,24,MIA,25,5,15,2.1,5.7,0.364,0.9,3.6,0.258,1.2,2.2,0.537,0.444,0.8,0.8,0.905,0.1,1,1.1,1.2,0.5,0.1,0.8,1.8,5.8
455,Noah Vonleh\vonleno01,PF,25,BRK,4,0,2.8,0,0.8,0,0,0.5,0,0,0.3,0,0,0,0,,0,0.3,0.3,0.3,0,0,0.5,0.5,0
456,Nikola Vučević\vucevni01,C,30,ORL,36,36,33.9,9.9,20.4,0.483,2.7,6.5,0.412,7.2,13.9,0.516,0.548,2.2,2.6,0.851,1.9,9.7,11.6,3.7,1,0.6,1.7,1.7,24.6
457,Dean Wade\wadede01,PF,24,CLE,28,5,11.4,1.2,2.6,0.446,0.8,1.9,0.423,0.4,0.8,0.5,0.595,0.3,0.4,0.667,0.5,1.7,2.1,0.6,0.2,0.2,0.4,0.8,3.4
458,Moritz Wagner\wagnemo01,C,23,WAS,22,11,14.3,2.5,4.8,0.533,0.5,1.6,0.343,2,3.2,0.629,0.59,1.5,2,0.75,0.5,2.5,3,1.2,0.7,0.3,0.6,2.3,7.1
459,Kemba Walker\walkeke02,PG,30,BOS,20,20,30,6.2,15.9,0.388,3,8.1,0.366,3.2,7.8,0.41,0.481,3.2,3.5,0.914,0.4,3.2,3.6,4.6,1.1,0.4,2.2,1.4,18.5
460,Lonnie Walker\walkelo01,SG,22,SAS,30,27,27.3,4.2,10.5,0.402,1.8,4.9,0.358,2.5,5.6,0.44,0.486,1.1,1.3,0.8,0.2,2.7,2.9,1.8,0.5,0.4,1.1,2.1,11.3
461,John Wall\walljo01,PG,30,HOU,25,25,31.7,7.5,17.7,0.424,2,6,0.34,5.5,11.7,0.468,0.482,4,5.3,0.744,0.4,2.8,3.2,6,0.9,0.7,3.3,1.2,21
462,Brad Wanamaker\wanambr01,PG,31,GSW,37,0,16.2,1.6,4.4,0.358,0.4,1.5,0.232,1.2,2.9,0.425,0.398,1.3,1.5,0.891,0.2,1.5,1.7,2.7,0.7,0.2,0.9,1.4,4.8
463,T.J. Warren\warretj01,SF,27,IND,4,4,29.3,6.8,12.8,0.529,0,1.8,0,6.8,11,0.614,0.529,2,2.5,0.8,0.5,3,3.5,1.3,0.5,0,1,4,15.5
464,P.J. Washington\washipj01,PF,22,CHO,31,31,29.4,4.4,9.8,0.449,1.4,3.5,0.385,3.1,6.3,0.485,0.518,2.3,2.9,0.778,1.5,4.9,6.3,2.9,1.1,1.2,2.1,2.7,12.5
465,Yuta Watanabe\watanyu01,SF,26,TOR,22,1,12.2,0.9,2.7,0.333,0.5,1.5,0.364,0.4,1.2,0.296,0.433,0.4,0.4,1,0.8,2.4,3.2,0.4,0.4,0.5,0.4,1,2.7
466,Tremont Waters\watertr01,PG,23,BOS,10,1,9.8,1,3.1,0.323,0.6,1.5,0.4,0.4,1.6,0.25,0.419,0.7,0.8,0.875,0.2,0.6,0.8,3,0.6,0,1.3,0.6,3.3
467,Paul Watson\watsopa01,SF,26,TOR,16,0,4.6,0.6,1.3,0.5,0.6,1.1,0.529,0.1,0.2,0.333,0.725,0,0,,0.1,0.8,0.9,0.1,0,0.1,0.1,0.6,1.8
468,Quinndary Weatherspoon\weathqu01,SG,24,SAS,5,0,4.8,0.2,1,0.2,0,0.2,0,0.2,0.8,0.25,0.2,0.4,0.4,1,0,0.4,0.4,0.6,0.2,0,1.2,1.4,0.8
469,Russell Westbrook\westbru01,PG,32,WAS,27,27,34.2,7.8,18.3,0.428,1.1,3.8,0.294,6.7,14.5,0.463,0.458,3.5,6,0.583,1.6,8.1,9.7,9.8,1.1,0.3,4.8,2.9,20.3
470,Coby White\whiteco01,PG,20,CHI,34,34,33.2,5.9,14.1,0.42,2.4,6.7,0.354,3.5,7.4,0.48,0.504,2,2.3,0.896,0.5,4.6,5.1,5,0.4,0.1,2.4,2.5,16.2
471,Derrick White\whitede01,SG,26,SAS,8,4,23.6,4.3,10.8,0.395,1.9,5.5,0.341,2.4,5.3,0.452,0.483,1.4,1.9,0.733,0.1,1.6,1.8,3.9,1,1,0.9,2.3,11.8
472,Hassan Whiteside\whiteha01,C,31,SAC,23,1,14.6,3.5,6,0.58,0,0,0,3.5,6,0.584,0.58,1.3,2.4,0.545,1.6,4.2,5.7,0.5,0.3,1.3,1,1.8,8.3
