Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
37,Bradley Beal\bealbr01,SG,27,WAS,32,32,35.7,11.5,23.9,0.482,2.3,6.9,0.335,9.2,17,0.541,0.53,7.6,8.4,0.903,1.3,4.1,5.4,4.7,1.4,0.4,3.3,2.6,32.9
38,Malik Beasley\beaslma01,SG,24,MIN,33,32,33.1,7.6,16.7,0.455,3.5,8.7,0.406,4.1,8,0.508,0.56,1.8,2.2,0.847,0.8,3.8,4.6,2.5,0.8,0.2,1.6,1.6,20.5
39,Jordan Bell\belljo01,C,26,WAS,3,1,16.7,1.7,5,0.333,0,0.7,0,1.7,4.3,0.385,0.333,0,0,,1.7,3.7,5.3,1.7,0.3,1,1,1.3,3.3
40,DeAndre' Bembry\bembrde01,SF,26,TOR,27,5,16.4,1.8,3.2,0.57,0.3,0.8,0.364,1.5,2.4,0.641,0.616,0.5,0.7,0.7,0.4,1.6,2,2,0.6,0.3,1,1.6,4.4
41,Dāvis Bertāns\bertada01,PF,28,WAS,30,3,26.1,3.3,8.6,0.388,2.9,7.6,0.384,0.4,1,0.414,0.558,1.9,2.3,0.853,0.5,2.7,3.1,0.9,0.6,0.2,0.6,2.5,11.5
42,Patrick Beverley\beverpa01,PG,32,LAC,28,28,24.2,2.8,6.3,0.446,1.8,4.1,0.422,1.1,2.2,0.492,0.585,1.1,1.4,0.795,1,2.9,3.8,2.1,0.9,0.8,1,3.2,8.5
43,Saddiq Bey\beysa01,SF,21,DET,34,17,22.9,3.2,7.8,0.409,2.1,5.4,0.393,1.1,2.4,0.444,0.545,1.4,1.6,0.857,0.5,3.4,3.9,1.1,0.6,0,0.7,1.6,9.9
44,Tyler Bey\beyty01,SF,22,DAL,4,0,3.3,0.5,1.3,0.4,0,0,,0.5,1.3,0.4,0.4,0.5,1,0.5,0.5,0.3,0.8,0,0,0.3,0,0.5,1.5
45,Khem Birch\birchkh01,C,28,ORL,35,1,20.1,2.2,4.4,0.497,0.1,0.4,0.308,2.1,4,0.514,0.51,1.5,2,0.739,2.6,2.8,5.3,1.1,0.6,0.7,0.5,1.5,5.9
46,Goga Bitadze\bitadgo01,C,21,IND,16,0,9.3,1.5,2.9,0.511,0.1,0.9,0.133,1.4,2,0.688,0.532,0.6,0.8,0.769,0.7,1.3,2,0.3,0.2,0.9,0.5,1.6,3.8
47,Bismack Biyombo\biyombi01,C,28,CHO,33,19,22.3,2.4,4.2,0.569,0,0,0,2.4,4.1,0.574,0.569,0.9,1.8,0.483,2.2,3.4,5.6,1.5,0.3,1.2,0.9,2.5,5.6
48,Nemanja Bjelica\bjeline01,PF,32,SAC,19,1,18,3.1,6.3,0.483,0.8,2.4,0.333,2.3,3.9,0.573,0.546,1.6,2,0.789,1.1,3.2,4.2,2.2,0.3,0.1,1.3,1.9,8.5
49,Eric Bledsoe\bledser01,SG,31,NOP,35,34,29.7,4.5,10.4,0.435,2,5.1,0.385,2.5,5.3,0.484,0.53,1.6,2.3,0.679,0.5,3.1,3.5,3.8,0.8,0.3,1.6,1.5,12.6
50,Keljin Blevins\blevike01,SF,25,POR,9,0,5.2,0.2,1.2,0.182,0,0.4,0,0.2,0.8,0.286,0.182,0,0,,0,0.2,0.2,0.4,0.2,0,0.3,0.4,0.4
51,Bogdan Bogdanović\bogdabo01,SG,28,ATL,11,2,22.6,3.2,8.3,0.385,2.1,6.1,0.343,1.1,2.2,0.5,0.511,0.9,1,0.909,0.2,3.3,3.5,2.2,0.4,0.2,1.2,1.9,9.4
52,Bojan Bogdanović\bogdabo02,SF,31,UTA,36,36,30.6,5.2,12.1,0.432,2.7,6.7,0.405,2.5,5.4,0.466,0.545,2.6,3,0.852,0.5,3.4,3.9,1.9,0.5,0.1,1.4,1.6,15.7
53,Bol Bol\bolbo01,PF,21,DEN,15,2,5.6,0.7,1.5,0.5,0.3,0.7,0.5,0.4,0.8,0.5,0.614,0.1,0.1,0.5,0,0.7,0.7,0.3,0.1,0.3,0.5,0.6,1.9
54,Marques Bolden\boldema01,C,22,CLE,6,0,4.8,0.2,0.5,0.333,0,0,,0.2,0.5,0.333,0.333,0.8,1.3,0.625,0.5,0.5,1,0,0.3,0.3,0.3,0,1.2
55,Jordan Bone\bonejo01,PG,23,ORL,14,0,14,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591,0.519,0,0,,0.3,1.4,1.7,1.3,0.1,0,0.2,0.8,4
56,Isaac Bonga\bongais01,SF,21,WAS,22,7,12.3,0.8,2,0.378,0.5,1.3,0.345,0.3,0.7,0.438,0.489,0.1,0.2,0.75,0.4,1.6,2,0.6,0.3,0.2,0.4,1.5,2.1
57,Devin Booker\bookede01,SG,24,PHO,31,31,33.9,9.2,18.5,0.496,2,5.6,0.362,7.1,12.9,0.554,0.551,4.5,5.4,0.839,0.2,3.5,3.6,4.4,0.9,0.3,3.3,3,24.9
58,Chris Boucher\bouchch01,C,28,TOR,36,2,23.6,4.8,8.9,0.534,1.7,3.8,0.445,3.1,5.1,0.6,0.629,2.4,3.1,0.759,1.9,4.6,6.5,1,0.6,1.9,0.7,2.7,13.6
59,Brian Bowen\bowenbr02,SF,22,IND,1,0,5,1,2,0.5,0,0,,1,2,0.5,0.5,1,1,1,0,1,1,0,0,0,0,0,3
60,Avery Bradley\bradlav01,SG,30,MIA,10,1,21.1,3.1,6.6,0.47,1.6,3.8,0.421,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
61,Tony Bradley\bradlto01,C,23,PHI,12,1,10.6,1.8,3.3,0.564,0,0.1,0,1.8,3.2,0.579,0.564,0.3,0.4,0.6,1.8,2.4,4.2,0.5,0.3,0.6,0.1,0.9,3.9
62,Jarrell Brantley\brantja01,PF,24,UTA,10,0,2.8,0.4,1,0.4,0.3,0.7,0.429,0.1,0.3,0.333,0.55,0,0,,0.2,0.5,0.7,0,0.1,0.1,0.1,0.4,1.1
63,Ignas Brazdeikis\brazdig01,SF,22,NYK,4,0,1.8,0,0.3,0,0,0,,0,0.3,0,0,0.5,0.5,1,0.3,0.3,0.5,0.3,0,0,0.3,0,0.5
64,Mikal Bridges\bridgmi01,SF,24,PHO,35,35,32.3,4.9,9.4,0.524,1.9,4.5,0.42,3,4.9,0.62,0.625,2,2.3,0.841,1.3,3.7,5.1,2.2,0.7,0.9,0.8,1.6,13.7
65,Miles Bridges\bridgmi02,PF,22,CHO,35,2,26.8,3.8,7.7,0.491,1.3,3.4,0.383,2.5,4.3,0.577,0.576,1.2,1.3,0.932,1.3,4.4,5.7,2.1,0.7,0.7,1.7,2.4,10
66,Malcolm Brogdon\brogdma01,PG,28,IND,34,34,35.6,8.1,18.1,0.447,2.4,6.4,0.378,5.7,11.8,0.485,0.514,2.6,2.9,0.897,0.8,3.9,4.6,6.2,1.2,0.2,2.1,1.9,21.2
67,Dillon Brooks\brookdi01,SF,25,MEM,29,29,29.2,6.1,15.3,0.396,1.9,5.8,0.32,4.2,9.5,0.444,0.457,1.9,2.3,0.833,1,2.2,3.1,2.6,1.4,0.5,2,3.3,15.9
68,Bruce Brown\brownbr01,PG,24,BRK,33,20,21.2,3.6,6.1,0.59,0.3,1,0.273,3.3,5.1,0.653,0.613,1.2,1.6,0.717,1.5,3.1,4.7,1.4,0.8,0.3,0.8,2.1,8.6
69,Jaylen Brown\brownja02,SG,24,BOS,33,33,33.8,9.2,18.7,0.495,2.3,5.9,0.388,6.9,12.7,0.545,0.557,3.9,5.1,0.772,1.1,4.5,5.6,3.9,1.1,0.5,2.8,2.9,24.7
70,Moses Brown\brownmo01,C,21,OKC,7,0,4.4,1,1.4,0.7,0,0,,1,1.4,0.7,0.7,1,2,0.5,0.6,1.6,2.1,0.4,0.1,0.6,0.1,0.6,3
71,Sterling Brown\brownst02,SG,25,HOU,32,2,22.3,2.7,6.1,0.439,1.6,4,0.402,1.1,2.2,0.507,0.569,0.4,0.5,0.933,0.7,3.5,4.2,1.7,1,0.2,0.8,2,7.4
72,Troy Brown Jr.\browntr01,SF,21,WAS,17,0,13.6,1.5,4.2,0.366,0.6,2.2,0.289,0.9,1.9,0.455,0.444,0.4,0.7,0.583,0.5,2.5,3,0.8,0.1,0.1,0.7,1.5,4.1
73,Jalen Brunson\brunsja01,PG,24,DAL,30,7,24.9,4.6,8.7,0.531,1.3,3.2,0.402,3.3,5.5,0.606,0.605,2.1,2.5,0.853,0.2,3.3,3.5,3.4,0.5,0,1.3,1.5,12.7
74,Thomas Bryant\bryanth01,C,23,WAS,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5,7,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
75,Reggie Bullock\bullore01,SF,29,NYK,32,32,26.3,3.1,7.6,0.406,1.7,4.6,0.372,1.4,3,0.458,0.518,0.6,0.8,0.833,0.3,3.1,3.4,1.3,0.6,0.2,0.7,2.2,8.5
76,Trey Burke\burketr01,PG,28,DAL,33,0,16.3,2.8,6.2,0.449,1.2,3.2,0.394,1.5,3.1,0.505,0.549,0.8,0.9,0.871,0.1,0.9,1,1.6,0.7,0.1,0.6,1.2,7.6
77,Alec Burks\burksal01,SG,29,NYK,25,3,24.7,3.7,9.1,0.405,1.9,4.7,0.402,1.8,4.4,0.409,0.509,1.9,2.2,0.839,0.5,3.8,4.3,2,0.7,0.2,1.1,1.9,11.1
78,Jimmy Butler\butleji01,SF,31,MIA,22,22,33.1,6.5,14.3,0.454,0.4,1.5,0.235,6.1,12.8,0.48,0.467,7.2,8.3,0.863,2,5.5,7.5,7.8,1.9,0.4,2.3,1.2,20.5
79,Bruno Caboclo\cabocbr01,PF,25,HOU,6,0,6,1.3,2.8,0.471,0,0.8,0,1.3,2,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0,0.3,0.7,1,2.8
80,Devontae Cacok\cacokde01,PF,24,LAL,4,0,4.3,1,1,1,0,0,,1,1,1,1,0,0.5,0,0.3,1,1.3,0,0.5,0,0.5,0,2
81,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,33,33,26.2,3,6.8,0.438,1.5,3.8,0.402,1.4,2.9,0.485,0.551,1.2,1.4,0.848,0.5,1.9,2.4,1.4,0.8,0.3,1,1.7,8.7
82,Facundo Campazzo\campafa01,PG,29,DEN,30,1,16.3,1.7,4.2,0.405,1.1,2.9,0.379,0.6,1.3,0.462,0.536,1,1.2,0.811,0.2,0.9,1,2.1,1,0.2,0.8,1.9,5.5
83,Vlatko Čančar\cancavl01,PF,23,DEN,20,0,6.1,0.6,1.4,0.393,0.2,0.7,0.214,0.4,0.7,0.571,0.446,0.3,0.3,0.833,0.2,1.2,1.4,0.3,0.4,0.1,0.5,0.6,1.5
84,Clint Capela\capelca01,C,26,ATL,32,32,29.7,6.5,11,0.589,0,0,,6.5,11,0.589,0.589,1.7,3.1,0.55,5,9.2,14.2,0.9,0.8,2.2,1.4,2.3,14.7
85,Vernon Carey Jr.\careyve01,C,19,CHO,3,0,2,0.3,1,0.333,0,0.3,0,0.3,0.7,0.5,0.333,0.3,0.7,0.5,0.7,0.3,1,0.3,0,0.3,0,0,1
86,Jevon Carter\carteje01,PG,25,PHO,29,0,10,1,2.9,0.357,0.6,2,0.298,0.4,0.9,0.481,0.458,0.1,0.1,1,0.1,1.2,1.3,1.2,0.4,0.2,0.2,1.1,2.7
87,Wendell Carter Jr.\cartewe01,C,21,CHI,23,23,26.9,4.6,8.6,0.535,0.3,0.9,0.35,4.3,7.7,0.556,0.553,2.7,3.7,0.733,2.1,5.7,7.8,2.3,0.7,0.8,1.9,3.2,12.3
88,Michael Carter-Williams\cartemi01,SG,29,ORL,17,12,26.5,3.4,8.5,0.403,0.5,1.8,0.258,2.9,6.6,0.442,0.431,1.7,2.2,0.763,1.6,3.2,4.8,4.1,0.6,0.5,1.9,2.9,9
89,Alex Caruso\carusal01,PG,26,LAL,29,0,19.9,2.1,5,0.428,1,2.4,0.4,1.2,2.6,0.453,0.524,0.6,0.8,0.696,0.6,2.2,2.8,2.4,1,0.2,1.1,1.8,5.8
90,Willie Cauley-Stein\caulewi01,C,27,DAL,31,10,17.3,2.3,3.6,0.625,0,0.2,0.167,2.2,3.4,0.651,0.629,1,1.5,0.646,1.3,3.3,4.5,0.8,0.3,0.7,0.5,2.4,5.5
91,Chris Chiozza\chiozch01,PG,25,BRK,15,0,9.1,1.1,3.1,0.362,0.6,1.5,0.391,0.5,1.6,0.333,0.457,0.7,0.9,0.769,0.2,0.9,1.1,2.4,0.3,0.3,0.7,0.7,3.5
92,Marquese Chriss\chrisma01,PF,23,GSW,2,0,13.5,2.5,7,0.357,0.5,2.5,0.2,2,4.5,0.444,0.393,1,2,0.5,1.5,5,6.5,1,0,1,1,1.5,6.5
93,Gary Clark\clarkga01,SF,26,ORL,30,11,19.1,1.1,3.7,0.295,0.9,3.2,0.274,0.2,0.6,0.412,0.411,0.3,0.3,0.889,1,2.2,3.2,0.8,0.4,0.2,0.5,1,3.3
94,Brandon Clarke\clarkbr01,PF,24,MEM,27,16,26.9,5.2,10.1,0.515,0.6,1.7,0.326,4.6,8.4,0.553,0.542,1.3,2,0.66,1.6,4.1,5.7,1.6,1.2,0.6,0.6,1.6,12.2
95,Jordan Clarkson\clarkjo01,SG,28,UTA,36,0,26,6.6,14.7,0.447,3.2,8.6,0.37,3.4,6.2,0.554,0.555,1.6,1.7,0.967,0.9,3.1,4,2.3,0.9,0.2,1.7,1.5,17.9
96,Nicolas Claxton\claxtni01,C,21,BRK,5,0,15.2,4,5.8,0.69,0,0.2,0,4,5.6,0.714,0.69,2,2.8,0.714,0.8,2.6,3.4,1,1,1.4,0.4,1.6,10
97,Amir Coffey\coffeam01,SG,23,LAC,20,0,7.7,1.1,2,0.525,0.6,1.1,0.524,0.5,1,0.526,0.663,0.2,0.5,0.333,0.2,0.6,0.8,0.4,0.2,0,0.4,0.6,2.8
98,John Collins\collijo01,PF,23,ATL,36,36,30.7,7,13.1,0.536,1.4,3.6,0.388,5.6,9.5,0.592,0.589,2.6,3,0.853,2.1,5.5,7.6,1.4,0.4,1,1.3,3.3,18
99,Mike Conley\conlemi01,PG,33,UTA,29,29,29.4,5.6,12.5,0.444,2.8,6.6,0.422,2.8,5.9,0.468,0.555,2.2,2.6,0.829,1,2.5,3.5,5.7,1.4,0.1,1.9,1.9,16.1
100,Pat Connaughton\connapa01,SG,28,MIL,33,0,21.1,2.4,5.3,0.443,1.4,3.5,0.393,1,1.8,0.542,0.574,0.4,0.5,0.824,0.9,3.3,4.3,1.4,0.7,0.5,0.4,1.6,6.5
101,Quinn Cook\cookqu01,PG,27,LAL,16,0,3.9,0.8,1.6,0.462,0.3,0.8,0.385,0.4,0.8,0.538,0.558,0.3,0.3,0.8,0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1
102,Tyler Cook\cookty01,PF,23,BRK,4,0,4.3,0.3,0.8,0.333,0,0,,0.3,0.8,0.333,0.333,0,0,,0.3,0.3,0.5,0.5,0,0,0.3,0.5,0.5
103,DeMarcus Cousins\couside01,C,30,HOU,25,11,20.2,3.2,8.4,0.376,1.6,4.6,0.336,1.6,3.8,0.426,0.469,1.8,2.4,0.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3,9.6
104,Robert Covington\covinro01,PF,30,POR,33,33,31.9,2.8,7.4,0.374,1.7,5.2,0.333,1,2.2,0.472,0.492,0.7,0.8,0.821,0.8,5.8,6.6,1.7,1.6,1.2,1.2,2.6,7.9
105,Torrey Craig\craigto01,SF,30,MIL,17,0,11.4,1,2.5,0.395,0.5,1.2,0.381,0.5,1.3,0.409,0.488,0.1,0.1,0.5,0.8,1.7,2.5,0.8,0.5,0.4,0.3,1.4,2.5
106,Jae Crowder\crowdja01,PF,30,PHO,32,19,27.6,3.4,8.5,0.402,2.4,6.4,0.376,1,2.1,0.485,0.544,0.9,1.1,0.829,0.4,4.6,5,2.1,0.8,0.3,0.9,1.8,10.1
107,Jarrett Culver\culveja01,SG,21,MIN,19,7,19.8,2.8,6.7,0.422,0.4,1.8,0.229,2.4,4.9,0.495,0.453,1.1,1.8,0.6,1.6,3.2,4.7,0.8,0.6,0.4,1.2,2.1,7.2
108,Seth Curry\curryse01,SG,30,PHI,28,28,29.9,4.4,9.4,0.469,2,4.5,0.448,2.4,4.9,0.489,0.576,1.7,1.9,0.923,0.2,1.8,2,2.8,0.9,0.3,1.5,1.7,12.5
109,Stephen Curry\curryst01,PG,32,GSW,35,35,34.1,9.8,20.5,0.478,4.8,11.7,0.411,5,8.8,0.567,0.595,5.3,5.6,0.934,0.5,5,5.5,6.3,1.3,0.1,3.2,1.8,29.7
110,Anthony Davis\davisan02,PF,27,LAL,23,23,32.8,8.9,16.7,0.533,0.7,2.5,0.293,8.1,14.1,0.575,0.555,4,5.7,0.715,2,6.3,8.4,3,1.3,1.8,2,1.8,22.5
111,Ed Davis\davised01,C,31,MIN,19,7,13.9,0.9,2.3,0.419,0,0,,0.9,2.3,0.419,0.419,0.4,0.4,0.875,2,3.1,5.1,1,0.5,0.5,0.3,2.6,2.3
112,Terence Davis\daviste02,SG,23,TOR,30,3,14.7,2.6,6.2,0.422,1.3,3.7,0.364,1.3,2.6,0.506,0.529,0.5,0.6,0.889,0.3,1.6,1.9,1.1,0.5,0.2,0.8,1.5,7.1
113,DeMar DeRozan\derozde01,PF,31,SAS,29,29,33.8,6.7,13.8,0.484,0.6,1.8,0.308,6.1,12,0.51,0.504,6,6.8,0.893,0.8,4.1,4.9,7.2,0.9,0.3,1.7,1.9,20
114,Hamidou Diallo\diallha01,SG,22,OKC,32,5,23.8,4.5,9.3,0.481,0.4,1.3,0.293,4.1,8,0.512,0.502,2.6,4.1,0.629,1.2,4,5.2,2.4,1,0.4,1.5,2.6,11.9
115,Gorgui Dieng\dienggo01,C,31,MEM,22,1,16.9,2.5,4.9,0.519,1,2.2,0.479,1.5,2.7,0.55,0.625,1.7,2,0.884,1.3,3.2,4.5,1.3,0.8,0.6,1,1.7,7.9
116,Spencer Dinwiddie\dinwisp01,SG,27,BRK,3,3,21.3,2,5.3,0.375,0.7,2.3,0.286,1.3,3,0.444,0.438,2,2,1,0,4.3,4.3,3,0.7,0.3,1.7,1.3,6.7
117,Donte DiVincenzo\divindo01,SG,24,MIL,36,36,26.7,3.9,9.3,0.418,1.9,4.9,0.384,2,4.4,0.456,0.519,0.6,0.9,0.636,1.2,3.5,4.7,3,1.1,0.2,1.2,1.5,10.3
118,Luka Dončić\doncilu01,PG,21,DAL,32,32,35.2,10,20.9,0.478,2.7,7.4,0.357,7.3,13.4,0.544,0.541,6,8,0.757,0.8,7.6,8.4,9,1,0.7,4.2,2,28.6
119,Luguentz Dort\dortlu01,SG,21,OKC,35,35,29.7,4.3,11,0.388,1.9,6,0.325,2.3,5,0.463,0.477,1.9,2.5,0.75,0.7,2.8,3.5,1.5,0.9,0.3,1.5,2.4,12.3
120,Damyean Dotson\dotsoda01,SG,26,CLE,30,6,18.8,2.6,6.6,0.401,1,3.5,0.279,1.7,3.1,0.538,0.475,0.6,0.9,0.692,0.1,1.6,1.8,2.2,0.4,0.1,0.8,0.9,6.8
121,Devon Dotson\dotsode01,PG,21,CHI,1,0,10,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,1,1,0,0,0,0,1,4
122,Sekou Doumbouya\doumbse01,PF,20,DET,32,2,13.7,1.6,4.4,0.355,0.5,1.9,0.25,1.1,2.5,0.432,0.408,0.6,0.8,0.731,0.5,1.8,2.3,0.7,0.4,0.1,0.6,1.6,4.2
123,PJ Dozier\doziepj01,SG,24,DEN,21,0,19.4,2.8,6,0.457,1,2.4,0.392,1.8,3.6,0.5,0.535,1.1,1.8,0.605,0.9,3,3.9,1.7,0.5,0.6,0.8,1.7,7.6
124,Goran Dragić\dragigo01,PG,34,MIA,22,8,27.1,5.3,11.5,0.458,1.6,4.4,0.361,3.7,7.1,0.519,0.528,2.6,3.1,0.841,0.3,2.8,3.1,4.8,0.6,0.2,2.8,2.6,14.8
125,Andre Drummond\drumman01,C,27,CLE,25,25,28.9,7.2,15.2,0.474,0,0.3,0,7.2,14.9,0.484,0.474,3.1,5.2,0.597,4,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
126,Jared Dudley\dudleja01,PF,35,LAL,11,0,6.9,0.2,0.6,0.286,0.2,0.5,0.4,0,0.2,0,0.429,0,0,,0.4,1.4,1.7,0.5,0.1,0.1,0.2,0.6,0.5
127,Kevin Durant\duranke01,PF,32,BRK,19,18,35.7,9.9,18.9,0.524,2.6,5.9,0.434,7.3,12.9,0.565,0.592,6.6,7.6,0.869,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29
128,Anthony Edwards\edwaran01,SG,19,MIN,36,19,29.1,5.5,14.9,0.371,1.9,6.3,0.302,3.6,8.7,0.42,0.434,1.9,2.4,0.805,0.7,3.3,4,2.5,0.9,0.4,1.8,1.5,14.9
129,Carsen Edwards\edwarca01,SG,22,BOS,14,1,10.5,2.1,4.5,0.46,0.8,2.4,0.324,1.3,2.1,0.621,0.548,0.5,0.6,0.778,0.1,0.9,1,0.4,0.3,0.1,0.1,1.1,5.4
130,CJ Elleby\ellebcj01,SF,20,POR,13,0,8.1,1.1,2.4,0.452,0.4,1.5,0.263,0.7,0.9,0.75,0.532,0.5,0.7,0.667,0.3,0.8,1.1,0.2,0.3,0.2,0.2,1.4,3
131,Wayne Ellington\ellinwa01,SG,33,DET,28,24,23.2,3.7,8.1,0.454,2.8,6.4,0.433,0.9,1.8,0.531,0.623,0.7,1,0.741,0.3,1.4,1.7,1.4,0.5,0.2,0.7,1.5,10.8
132,Joel Embiid\embiijo01,C,26,PHI,30,30,33,9.5,18.2,0.521,1.2,3,0.416,8.3,15.3,0.541,0.555,9.9,11.6,0.856,2.2,9.4,11.6,3.3,1.2,1.4,3.2,2.5,30.2
133,James Ennis\ennisja01,SF,30,ORL,24,23,21.4,2.5,5,0.5,0.9,2,0.447,1.6,3,0.534,0.588,1.4,1.8,0.786,1.1,2.8,3.9,1.3,0.8,0.3,0.9,2.2,7.3
134,Drew Eubanks\eubandr01,C,23,SAS,15,0,12,1.4,3.4,0.412,0,0,,1.4,3.4,0.412,0.412,0.9,1.3,0.7,0.6,2.5,3.1,0.6,0.1,1.1,0.5,1.3,3.7
135,Dante Exum\exumda01,SG,25,CLE,6,3,19.3,1.7,4.3,0.385,0.3,1.8,0.182,1.3,2.5,0.533,0.423,0.2,0.3,0.5,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
136,Tacko Fall\fallta01,C,25,BOS,8,0,7.1,1.1,1.6,0.692,0,0,,1.1,1.6,0.692,0.692,0.4,1,0.375,1,1.6,2.6,0.1,0,1.3,0.1,1.3,2.6
137,Derrick Favors\favorde01,C,29,UTA,34,0,16.2,2.5,3.9,0.649,0,0,0,2.5,3.8,0.654,0.649,1.3,1.7,0.789,1.9,3.6,5.5,0.8,0.5,0.9,0.6,2.4,6.3
138,Cristiano Felício\feliccr01,C,28,CHI,6,0,6.3,0.5,0.7,0.75,0,0,,0.5,0.7,0.75,0.75,0.8,1.3,0.625,1,1,2,0.8,0.3,0,0.5,0.5,1.8
139,Terrance Ferguson\fergute01,SG,22,PHI,9,0,3.8,0.1,0.6,0.2,0,0.3,0,0.1,0.2,0.5,0.2,0,0,,0,0.1,0.1,0.2,0,0,0.3,0.6,0.2
140,Bruno Fernando\fernabr01,C,22,ATL,18,0,8.4,0.6,1.4,0.44,0,0.1,0,0.6,1.3,0.478,0.44,0.5,0.8,0.6,0.7,2.6,3.3,0.5,0.1,0.1,0.8,0.9,1.7
141,Yogi Ferrell\ferreyo01,PG,27,CLE,2,0,20,4,10.5,0.381,1.5,4.5,0.333,2.5,6,0.417,0.452,0,1,0,1.5,2,3.5,2.5,1.5,0.5,1.5,2,9.5
142,Dorian Finney-Smith\finnedo01,PF,27,DAL,25,25,31.5,3.1,7.2,0.428,1.6,4.8,0.345,1.4,2.4,0.59,0.542,0.4,0.5,0.833,1.4,3.7,5.1,1.4,1,0.4,0.6,2.7,8.2
143,Malachi Flynn\flynnma01,PG,22,TOR,15,0,8.3,0.8,3,0.267,0.3,1.7,0.192,0.5,1.3,0.368,0.322,0.3,0.4,0.667,0.1,0.7,0.7,1.1,0.3,0,0.3,0.8,2.2
144,Bryn Forbes\forbebr01,SG,27,MIL,36,6,18.8,3.4,7.2,0.467,2,4.5,0.448,1.3,2.7,0.5,0.608,0.6,0.8,0.741,0.2,1.1,1.3,0.6,0.2,0,0.5,1.1,9.3
145,Trent Forrest\forretr01,PG,22,UTA,7,0,2.9,0,0.4,0,0,0.3,0,0,0.1,0,0,0.3,0.3,1,0,0.3,0.3,0.6,0.3,0,0.1,0.3,0.3
146,Evan Fournier\fournev01,SF,28,ORL,21,21,29.2,6,13.4,0.45,2.5,6.7,0.371,3.6,6.8,0.528,0.543,4,5,0.79,0.2,2.9,3.1,3.8,1,0.3,2.1,2,18.5
147,De'Aaron Fox\foxde01,PG,23,SAC,35,35,34.2,8.4,18,0.466,1.8,5.3,0.342,6.5,12.6,0.518,0.517,4.5,6.6,0.672,0.7,2.6,3.2,7.6,1.2,0.5,3.3,2.9,23
148,Tim Frazier\fraziti01,PG,30,MEM,3,0,11,0.7,2.7,0.25,0,0.7,0,0.7,2,0.333,0.25,0,0,,0,1.3,1.3,2.3,0.3,0,1,1.3,1.3
149,Markelle Fultz\fultzma01,PG,22,ORL,8,8,26.9,5.1,13,0.394,0.5,2,0.25,4.6,11,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1,0.3,2.3,2.3,12.9
150,Wenyen Gabriel\gabriwe01,PF,23,NOP,4,0,3,0,0.8,0,0,0.3,0,0,0.5,0,0,0,0,,0.3,1,1.3,0.3,0,0,0,0,0
151,Daniel Gafford\gaffoda01,PF,22,CHI,26,11,13.2,1.9,2.9,0.667,0,0,,1.9,2.9,0.667,0.667,1,1.5,0.667,1.3,1.8,3.2,0.6,0.4,1.2,0.7,1.8,4.8
152,Danilo Gallinari\gallida01,PF,32,ATL,24,2,21.9,3.4,8.6,0.391,2,5,0.388,1.4,3.6,0.395,0.505,3,3.2,0.934,0.2,3.2,3.4,1.5,0.5,0.1,1.1,1.9,11.7
153,Langston Galloway\gallola01,SG,29,PHO,25,0,10.5,1.5,3.3,0.463,0.8,1.8,0.457,0.7,1.4,0.472,0.591,0.6,0.6,1,0.2,0.9,1,0.6,0.2,0,0.3,0.6,4.5
154,Darius Garland\garlada01,PG,21,CLE,28,25,32.9,6.4,14.5,0.44,1.7,4.5,0.384,4.7,10.1,0.465,0.499,1.6,1.9,0.849,0.5,1.8,2.2,5.9,1.2,0.1,2.9,2.2,16.1
155,Marc Gasol\gasolma01,C,36,LAL,35,35,20.1,1.5,3.8,0.403,0.9,2.4,0.365,0.7,1.4,0.469,0.519,0.8,1,0.806,0.7,3.4,4.1,2,0.5,1.3,0.9,2.3,4.8
156,Rudy Gay\gayru01,PF,34,SAS,26,0,22,4.2,9.9,0.419,1.6,4.3,0.366,2.6,5.6,0.459,0.498,1.3,1.7,0.767,0.9,4.3,5.2,1.5,0.7,0.5,1.2,1.8,11.2
157,Paul George\georgpa01,SF,30,LAC,27,27,33.5,8.3,16.7,0.499,3.5,7.8,0.45,4.8,8.9,0.542,0.604,3.5,4,0.888,0.9,5.2,6.1,5.4,1.1,0.5,3.4,2.3,23.7
