Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Year
1,Orlando Magic,E,SE,59,23,0.72,7.49,112.13,104,8.13,7.12,112.02,104.28,7.73,2010
2,Cleveland Cavaliers,E,C,61,21,0.744,6.52,112.27,105.07,7.21,6.17,112.29,105.47,6.82,2010
3,Utah Jazz,W,NW,53,29,0.646,5.34,111.57,105.81,5.76,5.33,111.44,105.69,5.75,2010
4,San Antonio Spurs,W,SW,50,32,0.61,5.09,110.61,105.17,5.44,5.07,110.49,105.07,5.42,2010
5,Los Angeles Lakers,W,P,57,25,0.695,4.72,109.51,104.57,4.93,4.78,109.32,104.32,5,2010
6,Phoenix Suns,W,P,54,28,0.659,4.9,116.11,110.94,5.16,4.68,116.06,111.13,4.93,2010
7,Atlanta Hawks,E,SE,53,29,0.646,4.66,112.6,107.6,5,4.44,112.67,107.91,4.77,2010
8,Denver Nuggets,W,NW,53,29,0.646,4.09,112.32,108.21,4.11,4.15,112.26,108.06,4.2,2010
9,Oklahoma City Thunder,W,NW,50,32,0.61,3.49,109.18,105.43,3.75,3.55,109.06,105.23,3.82,2010
10,Portland Trail Blazers,W,NW,50,32,0.61,3.3,111.91,108.02,3.88,3.18,111.78,108.04,3.74,2010
11,Boston Celtics,E,A,50,32,0.61,3.66,108.65,104.62,4.03,3.37,108.5,104.79,3.72,2010
12,Dallas Mavericks,W,SW,55,27,0.671,2.72,110,107.17,2.84,2.67,109.88,107.09,2.79,2010
13,Miami Heat,E,SE,47,35,0.573,2.28,107.63,105.06,2.57,2,107.58,105.32,2.26,2010
14,Milwaukee Bucks,E,C,46,36,0.561,1.7,105.74,103.81,1.94,1.38,105.68,104.09,1.59,2010
15,Charlotte Bobcats,E,SE,44,38,0.537,1.46,105.26,103.87,1.39,1.3,105.2,103.97,1.22,2010
16,Houston Rockets,W,SW,42,40,0.512,-0.37,108.37,108.79,-0.42,-0.01,108.4,108.45,-0.04,2010
17,Memphis Grizzlies,W,SW,40,42,0.488,-1.51,109.07,110.71,-1.64,-1.38,109,110.49,-1.49,2010
18,Toronto Raptors,E,A,40,42,0.488,-1.78,112.19,113.89,-1.69,-1.83,112.45,114.2,-1.75,2010
19,Chicago Bulls,E,C,41,41,0.5,-1.63,104.24,106.03,-1.79,-1.63,104.29,106.08,-1.79,2010
20,New Orleans Hornets,W,SW,37,45,0.451,-2.46,108.19,110.92,-2.73,-2.26,108.15,110.67,-2.52,2010
21,Indiana Pacers,E,C,32,50,0.39,-3.01,104.6,107.64,-3.04,-3.1,104.58,107.73,-3.14,2010
22,Golden State Warriors,W,P,26,56,0.317,-3.6,108.7,112.31,-3.61,-3.28,108.77,112.05,-3.28,2010
23,New York Knicks,E,A,29,53,0.354,-3.82,108.22,112.2,-3.98,-4.01,108.33,112.52,-4.19,2010
24,Sacramento Kings,W,P,25,57,0.305,-4.37,106.05,110.82,-4.76,-4.06,106.09,110.52,-4.42,2010
25,Philadelphia 76ers,E,A,27,55,0.329,-3.9,106.93,111.35,-4.42,-3.93,107.15,111.58,-4.43,2010
26,Washington Wizards,E,SE,26,56,0.317,-4.78,105.11,110.41,-5.3,-4.72,105.34,110.57,-5.23,2010
27,Detroit Pistons,E,C,27,55,0.329,-5.11,106.6,112.41,-5.82,-5.02,106.78,112.48,-5.7,2010
28,Los Angeles Clippers,W,P,29,53,0.354,-6.35,104.07,111.02,-6.95,-6.01,104.04,110.61,-6.57,2010
29,Minnesota Timberwolves,W,NW,15,67,0.183,-9.6,102.34,112.31,-9.97,-9.06,102.38,111.78,-9.4,2010
30,New Jersey Nets,E,A,12,70,0.146,-9.12,101.54,111.56,-10.02,-8.93,101.75,111.54,-9.79,2010
