Player,MP,PTS,TRB,AST,ROY
Jalen Brunson\brunsja01,21,9.5,2.6,3.2,N
Deonte Burton\burtode02,8.4,2.6,1.2,0.4,N
Jevon Carter\carteje01,14.4,4.3,1.8,1.5,N
Wendell Carter\cartewe01,27.1,11.1,8.1,1.6,N
Troy Caupain\caupatr01,4,2.5,0.8,1,N
Joe Chealey\chealjo01,8.2,0.8,0,0.4,N
Chris Chiozza\chiozch01,11.4,4,1.5,2.5,N
Gary Clark\clarkga01,14.5,3.3,2.6,0.5,N
Bonzie Colson\colsobo01,12.3,4.9,3.8,0.4,N
Mitch Creek\creekmi01,9.6,4.2,2.4,1.2,N
Tyler Davis\davisty01,1,0,1,0,N
Ángel Delgado\delgaan01,7.5,1.5,2,0,N
Marcus Derrickson\derrima01,6.1,4.2,1.2,0.1,N
Hamidou Diallo\diallha01,16.9,6.9,3.3,1,N
Donte DiVincenzo\divindo01,22.4,8.6,4.3,2.3,N
Trevon Duval\duvaltr01,2,1.7,0.3,0.7,N
Vince Edwards\edwarvi01,8,1.5,1,0,N
Drew Eubanks\eubandr01,9.4,3.4,2.8,0.5,N
Jacob Evans\evansja02,10.5,2.8,1.1,0.9,N
Melvin Frazier\frazime01,5.9,1.9,0.5,0.1,N
Billy Garrett\garrebi01,15.8,6.5,0.8,1.8,N
Harry Giles\gilesha01,13.9,6.3,4.1,1.3,N
Shai Gilgeous-Alexander\gilgesh01,30.9,16,4.4,3.8,N
Brandon Goodwin\goodwbr01,10.5,4.5,1.4,1.5,N
Devonte' Graham\grahade01,27.7,12.7,2.6,5.5,N
Donte Grantham\grantdo01,0.7,0,0,0,N
Dusty Hannahs\hannadu01,9.8,5,0.5,1.3,N
Isaiah Hartenstein\harteis01,9.5,3.4,2.7,0.6,N
Haywood Highsmith\highsha01,8,1.8,1,0.4,N
Aaron Holiday\holidaa01,19.4,7.8,1.8,2.5,N
Kevin Huerter\huertke01,29.7,11.1,3.6,3.4,N
Isaac Humphries\humphis01,11.2,3,2.2,0,N
Chandler Hutchison\hutchch01,18.8,5.8,4,0.8,N
Frank Jackson\jacksfr01,15.7,6.8,1.7,1.1,N
Jaren Jackson\jacksja02,27.3,15.5,4.6,1.2,N
Amile Jefferson\jeffeam01,4.7,1.4,1.5,0.2,N
Alize Johnson\johnsal02,5.9,1.5,2.2,0.3,N
B.J. Johnson\johnsbj01,7.8,3.1,1.4,0.2,N
Jemerrio Jones\jonesje01,23.8,4.5,8.2,2.2,N
George King\kingge03,6,0,1,0,N
Kevin Knox\knoxke01,22.4,9.1,3.4,1,N
Rodions Kurucs\kurucro01,16.4,6.1,3.2,0.9,N
Zach Lofton\loftoza01,4,0,0,0,N
Jordan Loyd\loydjo01,4.6,2.4,0.8,0.5,N
Daryl Macon\maconda01,8.7,2.7,1,0.7,N
J.P. Macura\macurjp01,6,2,1,0.7,N
Yante Maten\matenya01,6.5,1,1.5,0,N
Tahjere McCall\mccalta01,8,4,1,0,N
De'Anthony Melton\meltode01,19.7,7,3.2,3,N
Chimezie Metu\metuch01,5.5,2.5,1.6,0.5,N
Shake Milton\miltosh01,20.2,9.7,2.1,2.4,N
Džanan Musa\musadz01,10.7,4.3,1.9,0.9,N
