Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Year
1,Utah Jazz,W,NW,27,7,0.794,9.71,118.8,108.86,9.93,10.31,118.68,108.16,10.52,2021
2,Milwaukee Bucks,E,C,21,13,0.618,7.53,118.4,111.06,7.34,7.14,118.21,111.27,6.94,2021
3,Phoenix Suns,W,P,22,11,0.667,5.91,116.31,110.15,6.16,5.63,115.26,109.36,5.9,2021
4,Los Angeles Clippers,W,P,24,12,0.667,5.89,118.58,112.73,5.85,5.71,118.44,112.76,5.68,2021
5,Los Angeles Lakers,W,P,24,11,0.686,5.71,111.57,106.01,5.56,4.96,111.45,106.64,4.81,2021
6,Brooklyn Nets,E,A,22,13,0.629,4.46,119.26,114.84,4.42,4.22,119.51,115.36,4.15,2021
7,Denver Nuggets,W,NW,18,15,0.545,4.36,117.85,113.46,4.39,4.09,118.01,113.88,4.13,2021
8,Philadelphia 76ers,E,A,22,12,0.647,3,112.96,110.04,2.92,2.34,112.45,110.2,2.25,2021
9,Toronto Raptors,E,A,17,17,0.5,2.41,114.38,111.87,2.51,2.03,114.09,111.96,2.13,2021
10,Golden State Warriors,W,P,19,16,0.543,1.2,110.77,109.45,1.33,1.29,110.68,109.26,1.43,2021
11,Indiana Pacers,E,C,15,17,0.469,0.97,112.46,111.4,1.06,1.09,112.29,111.12,1.18,2021
12,Boston Celtics,E,A,17,17,0.5,0.59,113.25,112.91,0.34,0.88,113.3,112.67,0.63,2021
13,Dallas Mavericks,W,SW,16,16,0.5,-1.03,113.96,114.81,-0.85,0.34,114.51,113.94,0.57,2021
14,Memphis Grizzlies,W,SW,15,15,0.5,0.43,111.42,111.06,0.36,0.47,111.41,111.01,0.4,2021
15,Atlanta Hawks,E,SE,14,20,0.412,-0.06,114.72,114.85,-0.13,0.26,114.74,114.57,0.17,2021
16,New Orleans Pelicans,W,SW,14,19,0.424,-0.18,117.27,117.56,-0.29,0.22,117.77,117.6,0.16,2021
17,New York Knicks,E,A,18,17,0.514,0.94,109.75,108.89,0.86,0.14,109.32,109.27,0.04,2021
18,San Antonio Spurs,W,SW,17,12,0.586,-0.31,110.68,111,-0.32,-0.79,111.21,111.98,-0.77,2021
19,Miami Heat,E,SE,17,17,0.5,-1.56,109.51,111.01,-1.5,-0.9,109.51,110.36,-0.85,2021
20,Charlotte Hornets,E,SE,16,17,0.485,-1.12,112.8,113.78,-0.98,-1.04,113.25,114.13,-0.88,2021
21,Chicago Bulls,E,C,15,17,0.469,-0.16,112.77,112.85,-0.08,-1.04,112.47,113.43,-0.97,2021
22,Portland Trail Blazers,W,NW,18,14,0.563,-1.03,115.89,117.06,-1.17,-1.41,116.33,117.87,-1.54,2021
23,Detroit Pistons,E,C,9,25,0.265,-4.56,108.89,113.42,-4.54,-3.7,109.58,113.31,-3.72,2021
24,Washington Wizards,E,SE,13,19,0.406,-4.28,110.54,114.83,-4.29,-4.58,110.33,114.93,-4.6,2021
25,Sacramento Kings,W,P,13,21,0.382,-5.94,114.2,120.05,-5.84,-5.07,114.09,119.06,-4.97,2021
26,Oklahoma City Thunder,W,NW,14,20,0.412,-5.74,105.96,111.72,-5.76,-5.12,105.96,111.12,-5.16,2021
27,Houston Rockets,W,SW,11,21,0.344,-4.69,106.49,111.04,-4.55,-5.62,106.02,111.51,-5.49,2021
28,Orlando Magic,E,SE,13,21,0.382,-6.71,106.05,112.9,-6.84,-7.38,105.83,113.34,-7.51,2021
29,Cleveland Cavaliers,E,C,13,21,0.382,-8.15,106.48,115.03,-8.55,-7.3,107.01,114.74,-7.72,2021
30,Minnesota Timberwolves,W,NW,7,28,0.2,-8.4,106.24,114.36,-8.12,-8.02,106.58,114.34,-7.76,2021
