Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
205,Justin Holiday\holidju01,SG,31,IND,35,1130,,24%,59%,17%,,0.6,1.0,15,8,39,2,21,5,140,4,8
206,Richaun Holmes\holmeri01,C,27,SAC,32,942,,,,,100%,-1.0,10.0,15,7,71,17,37,1,133,12,16
207,Rodney Hood\hoodro01,SF,28,POR,30,575,,17%,78%,6%,,-5.8,-8.1,14,7,23,2,5,6,86,2,5
208,Al Horford\horfoal01,C,34,OKC,24,677,,,,4%,96%,-5.1,1.2,11,6,26,5,8,1,204,5,9
209,Talen Horton-Tucker\hortota01,SG,20,LAL,33,576,3%,28%,59%,10%,,-1.9,-9.9,18,11,31,7,20,7,144,9,14
210,Danuel House\houseda01,SF,27,HOU,22,602,,,31%,53%,17%,-14.4,-14.2,10,6,26,3,19,3,109,5,8
211,Dwight Howard\howardw01,C,35,PHI,36,574,,,,2%,98%,-5.2,-13.4,17,13,38,25,46,1,61,6,10
212,Markus Howard\howarma02,SG,21,DEN,17,55,1%,78%,20%,,,-29.3,-35.5,4,0,2,0,0,0,14,0,3
213,Kevin Huerter\huertke01,SG,22,ATL,36,1157,2%,95%,4%,,,-2.6,-9.6,31,10,35,0,14,2,314,4,18
214,Elijah Hughes\hugheel01,SF,22,UTA,6,27,,,70%,30%,,-34.1,-43.7,1,2,0,0,0,0,7,0,1
215,De'Andre Hunter\huntede01,SF,23,ATL,18,579,,1%,65%,35%,,6.3,8.6,6,13,18,3,29,9,100,3,6
216,Chandler Hutchison\hutchch01,SF,24,CHI,7,64,,8%,60%,32%,,6.3,6.8,2,2,7,0,1,1,10,0,1
217,Serge Ibaka\ibakase01,C,31,LAC,37,887,,,,,100%,8.9,5.9,13,11,38,11,23,2,166,8,10
218,Andre Iguodala\iguodan01,SF,37,MIA,34,735,,23%,64%,13%,,-2.7,-2.2,25,4,28,1,8,7,190,1,1
219,Joe Ingles\inglejo01,SF,33,UTA,32,846,,1%,82%,17%,,10.9,4.0,30,7,13,10,12,8,337,2,6
220,Brandon Ingram\ingrabr01,SF,23,NOP,36,1255,,,59%,41%,,-1.3,-2.5,39,27,35,13,77,5,418,21,32
221,Kyrie Irving\irvinky01,PG,28,BRK,26,924,100%,,,,,10.3,10.4,34,20,35,4,42,5,372,6,25
222,Wesley Iwundu\iwundwe01,SF,26,DAL,20,246,,4%,73%,24%,,-7.3,-8.1,2,1,12,0,4,4,19,1,5
223,Frank Jackson\jacksfr01,PG,22,DET,9,54,56%,44%,,,,14.2,18.7,4,0,2,0,0,1,25,0,3
224,Josh Jackson\jacksjo02,SG,23,DET,32,797,,85%,15%,,,-1.3,4.8,30,25,42,12,62,10,143,21,40
225,Justin Jackson\jacksju01,SF,25,OKC,25,405,1%,39%,53%,8%,,-5.8,0.0,14,6,10,2,9,3,96,2,6
226,Reggie Jackson\jacksre01,SG,30,LAC,35,709,48%,48%,4%,,,2.7,-5.1,27,3,29,1,16,6,257,6,10
227,Justin James\jamesju01,SF,24,SAC,13,69,5%,21%,56%,19%,,-5.1,0.5,2,0,0,0,4,0,12,2,1
228,LeBron James\jamesle01,PG,36,LAL,36,1245,72%,28%,,,,8.5,11.3,80,30,19,6,108,10,668,39,23
229,DaQuan Jeffries\jeffrda01,SG,23,SAC,12,189,,6%,60%,34%,,2.1,8.6,3,1,12,0,4,4,10,1,6
230,Ty Jerome\jeromty01,SG,23,OKC,4,100,25%,73%,2%,,,-3.5,2.5,1,0,9,1,0,0,32,0,0
231,Isaiah Joe\joeis01,SG,21,PHI,20,240,73%,24%,3%,,,-2.8,-7.7,3,1,10,1,1,10,34,0,2
232,Cameron Johnson\johnsca02,PF,24,PHO,34,823,,,3%,96%,1%,11.4,9.0,13,9,21,0,18,10,110,8,9
233,James Johnson\johnsja01,PF,33,DAL,27,484,,,2%,96%,2%,-3.3,-3.9,13,6,30,5,13,0,118,6,5
234,Keldon Johnson\johnske04,SF,21,SAS,29,845,,7%,88%,6%,,-5.8,-13.3,16,11,37,6,56,2,149,16,30
235,Stanley Johnson\johnsst04,PF,24,TOR,32,441,,,22%,68%,10%,-3.3,-6.2,12,2,23,6,4,4,109,0,6
236,Tyler Johnson\johnsty01,SG,28,BRK,18,250,9%,66%,23%,2%,,7.9,3.1,3,1,7,0,2,4,39,0,3
237,Nikola Jokić\jokicni01,C,25,DEN,36,1293,,,,,100%,6.8,7.0,66,29,53,11,63,3,736,23,29
238,Damian Jones\jonesda03,C,25,TOT,17,125,,,,7%,94%,-11.7,-18.1,3,0,14,2,5,0,10,3,3
238,Damian Jones\jonesda03,C,25,PHO,14,94,,,,9%,91%,-17.1,-25.2,3,0,11,2,4,0,10,3,3
238,Damian Jones\jonesda03,C,25,LAL,3,31,,,,,100%,6.2,1.2,0,0,3,0,1,0,0,0,0
239,Derrick Jones Jr.\jonesde02,SF,23,POR,31,838,,10%,89%,1%,,3.1,7.2,12,4,38,4,27,5,67,4,9
240,Mason Jones\jonesma05,SG,22,HOU,22,244,24%,71%,5%,,,-14.2,-10.4,17,1,11,2,20,0,71,5,4
241,Tre Jones\jonestr01,PG,21,SAS,12,43,65%,35%,,,,-23.8,-24.6,2,1,2,0,3,0,9,1,0
242,Tyus Jones\jonesty01,PG,24,MEM,32,691,100%,,,,,-3.4,-8.1,24,3,6,1,11,4,351,2,10
243,DeAndre Jordan\jordade01,C,32,BRK,35,799,,,,,100%,5.6,0.6,19,17,44,15,26,3,156,8,4
244,Cory Joseph\josepco01,PG,29,SAC,36,749,49%,51%,,,,-10.0,-7.8,19,10,39,4,14,9,205,3,10
245,Mfiondu Kabengele\kabenmf01,PF,23,LAC,20,81,,,,72%,28%,-4.4,-10.7,1,1,11,1,2,1,13,0,1
246,Frank Kaminsky\kaminfr01,C,27,PHO,27,428,,,,,100%,4.8,-2.5,8,3,19,1,16,5,110,5,10
247,Enes Kanter\kanteen01,C,28,POR,35,919,,,,1%,99%,2.4,6.3,12,16,64,7,43,1,104,15,34
248,Luke Kennard\kennalu01,SG,24,LAC,34,684,20%,66%,14%,,,0.8,-8.1,18,7,28,0,8,0,147,5,6
249,Maxi Kleber\klebima01,PF,29,DAL,22,569,,,,81%,20%,4.5,7.8,6,4,28,2,7,6,74,1,2
250,Nathan Knight\knighna01,PF,23,ATL,10,58,,,20%,54%,26%,-12.2,-13.2,0,2,5,2,4,0,3,2,2
251,Kevin Knox\knoxke01,SF,21,NYK,26,397,,,59%,40%,1%,-7.5,-10.5,7,3,22,2,9,2,41,4,4
252,John Konchar\konchjo01,SG,24,MEM,19,308,12%,49%,38%,,,-2.3,-4.3,4,2,14,2,4,1,60,0,6
253,Furkan Korkmaz\korkmfu01,SG,23,PHI,25,467,,13%,59%,27%,2%,2.6,-1.6,17,3,15,1,11,5,50,2,4
254,Luke Kornet\kornelu01,PF,25,CHI,10,83,,,,11%,89%,13.4,14.3,0,1,1,0,1,0,10,0,1
255,Rodions Kurucs\kurucro01,SF-PF,22,TOT,16,91,,,6%,59%,35%,-5.0,-5.3,5,3,5,1,0,0,14,0,1
255,Rodions Kurucs\kurucro01,PF,22,BRK,5,16,,,,85%,14%,-18.5,-24.0,0,0,0,0,0,0,5,0,0
255,Rodions Kurucs\kurucro01,SF,22,HOU,11,75,,,7%,54%,39%,-2.4,3.2,5,3,5,1,0,0,9,0,1
256,Kyle Kuzma\kuzmaky01,SF,25,LAL,36,932,,,51%,49%,,2.1,-5.9,14,15,31,15,16,4,97,4,16
257,Jeremy Lamb\lambje01,SG,28,IND,21,486,,36%,52%,12%,,-3.2,-4.8,7,5,20,2,26,8,82,5,7
258,Zach LaVine\lavinza01,SG,25,CHI,34,1209,7%,55%,38%,,,-2.3,-7.8,78,33,45,8,76,2,422,22,36
259,Jake Layman\laymaja01,SF,26,MIN,24,372,,1%,43%,56%,,-12.1,-4.0,7,4,14,4,16,4,40,5,8
260,Jalen Lecque\lecquja01,PG,20,IND,3,9,76%,24%,,,,-20.0,-20.4,0,0,0,0,2,0,5,1,0
261,Damion Lee\leeda03,SG,28,GSW,37,712,,64%,32%,3%,,2.6,3.5,8,5,26,4,10,11,129,4,0
262,Saben Lee\leesa01,PG,21,DET,15,238,100%,,,,,-0.4,4.1,12,2,12,0,17,3,89,3,7
263,Alex Len\lenal01,C,27,TOT,26,352,,,,,100%,-8.1,-7.4,7,8,28,9,21,1,63,2,8
263,Alex Len\lenal01,C,27,TOR,7,76,,,,,100%,-14.7,-16.8,1,2,6,3,3,0,9,0,1
263,Alex Len\lenal01,C,27,WAS,19,276,,,,,100%,-6.3,-2.3,6,6,22,6,18,1,54,2,7
264,Kawhi Leonard\leonaka01,SF,29,LAC,30,1039,,55%,42%,2%,,11.4,12.8,16,23,16,9,66,3,388,11,15
265,Meyers Leonard\leoname01,C,28,MIA,3,29,,,,,100%,-6.8,-5.5,2,0,5,0,0,0,6,0,0
266,Caris LeVert\leverca01,SG,26,BRK,12,334,25%,62%,13%,,,6.9,2.0,10,9,7,2,20,1,179,6,7
267,Kira Lewis Jr.\lewiski01,PG,19,NOP,21,273,100%,,,,,1.6,2.6,6,0,19,0,7,3,90,0,6
268,Damian Lillard\lillada01,PG,30,POR,34,1224,100%,,,,,2.0,9.4,76,21,22,9,93,12,679,17,32
269,Nassir Little\littlna01,PF,20,POR,20,239,,,70%,26%,4%,-2.6,-2.5,2,5,15,2,12,0,18,2,5
270,Kevon Looney\looneke01,C,24,GSW,27,401,,,,,100%,7.4,8.9,7,3,26,4,6,1,106,1,3
271,Brook Lopez\lopezbr01,C,32,MIL,36,975,,,,,100%,6.1,0.5,12,8,42,9,32,1,55,8,8
272,Robin Lopez\lopezro01,C,32,WAS,34,690,,,,,100%,-5.1,-1.2,8,8,36,14,32,3,76,10,14
273,Kevin Love\loveke01,PF,32,CLE,2,46,,,,100%,,17.7,25.6,1,2,0,0,2,0,11,0,3
274,Kyle Lowry\lowryky01,PG,34,TOR,29,1002,98%,3%,,,,1.5,0.4,45,17,34,15,41,24,490,9,23
275,Timothé Luwawu-Cabarrot\luwawti01,SF,25,BRK,34,669,,3%,53%,43%,1%,-0.2,-8.7,13,6,33,3,12,4,106,2,8
276,Trey Lyles\lylestr01,PF,25,SAS,19,311,,,11%,77%,12%,-12.3,-15.5,2,0,9,0,10,0,25,1,0
277,Thon Maker\makerth01,C,23,CLE,8,76,,,7%,44%,49%,-9.4,-2.2,1,0,3,2,5,0,9,1,1
278,Théo Maledon\maledth01,PG,19,OKC,31,797,100%,,,,,-9.9,-7.6,34,8,35,1,13,1,253,4,9
279,Karim Mané\maneka01,PG,20,ORL,6,56,,58%,42%,,,-15.6,-9.6,1,1,2,0,2,0,2,0,6
280,Terance Mann\mannte01,SG,24,LAC,35,549,2%,54%,40%,4%,,-2.2,-11.6,5,6,26,7,16,3,110,1,12
281,Nico Mannion\mannini01,PG,19,GSW,7,67,100%,,,,,6.3,6.0,4,1,3,0,1,1,44,0,2
282,Boban Marjanović\marjabo01,C,32,DAL,18,141,,,,,100%,5.5,6.6,2,4,8,1,8,0,6,4,9
283,Lauri Markkanen\markkla01,PF,23,CHI,14,426,,,,30%,70%,-8.7,-11.5,7,9,18,6,20,2,28,6,8
284,Naji Marshall\marshna01,SF,23,NOP,3,8,,,65%,36%,,79.4,80.3,0,0,0,0,1,0,2,0,0
285,Caleb Martin\martica02,SF,25,CHO,26,395,,34%,62%,4%,,-5.8,-6.6,9,3,14,2,13,15,75,4,11
286,Cody Martin\martico01,SF,25,CHO,23,268,1%,14%,79%,6%,,2.1,3.4,10,3,6,2,7,2,58,4,4
287,Kelan Martin\martike03,SF,25,IND,12,48,,,75%,24%,1%,4.9,4.7,1,2,1,0,0,0,0,0,0
288,Kenyon Martin Jr.\martike04,SF,20,HOU,7,69,,,34%,59%,7%,18.0,24.5,1,1,4,1,3,0,9,1,2
289,Frank Mason III\masonfr01,PG,26,ORL,4,79,100%,,,,,-10.1,-3.9,4,0,3,1,4,0,25,1,5
290,Garrison Mathews\mathega01,SG,24,WAS,28,454,5%,19%,72%,4%,,-5.3,-1.3,0,4,21,0,14,18,34,0,6
291,Dakota Mathias\mathida01,SG,25,PHI,8,123,,48%,52%,,,-12.7,-17.7,0,0,3,0,1,1,29,1,0
292,Wesley Matthews\matthwe02,SG,34,LAL,30,605,4%,63%,33%,1%,,-2.7,-11.5,12,2,26,0,5,8,77,0,0
293,Tyrese Maxey\maxeyty01,SG,20,PHI,32,519,44%,52%,5%,,,-10.6,-20.4,11,7,27,1,12,1,139,5,13
294,Skylar Mays\mayssk01,SG,23,ATL,16,132,38%,62%,,,,7.9,7.9,3,1,5,0,8,1,46,0,6
295,Patrick McCaw\mccawpa01,SF,25,TOR,3,20,,,84%,16%,,-47.0,-48.8,0,0,1,0,0,0,10,0,0
296,CJ McCollum\mccolcj01,SG,29,POR,13,440,19%,80%,1%,,,4.3,6.6,8,4,12,0,21,1,163,6,9
297,T.J. McConnell\mccontj01,PG,28,IND,32,810,49%,51%,,,,2.4,4.2,39,13,20,1,8,14,507,4,12
298,Jaden McDaniels\mcdanja02,PF,20,MIN,30,574,,,8%,88%,4%,-4.1,7.4,9,8,42,3,10,1,72,2,9
299,Jalen McDaniels\mcdanja01,SF,23,CHO,17,213,,1%,44%,55%,,-7.0,-7.1,4,3,12,2,10,0,19,3,7
300,Doug McDermott\mcderdo01,PF,29,IND,34,882,,,35%,64%,1%,1.5,2.5,12,9,18,6,28,2,112,10,23
301,Sean McDermott\mcderse01,SF,24,MEM,8,126,,33%,58%,9%,,-16.7,-19.4,3,0,0,0,2,0,10,0,2
302,JaVale McGee\mcgeeja01,C,33,CLE,27,411,,,,,100%,-12.6,-6.9,19,2,32,9,20,2,61,4,8
303,Rodney McGruder\mcgruro01,SG,29,DET,12,115,38%,62%,,,,-6.6,-2.9,1,2,4,1,4,2,29,2,1
304,Alfonzo McKinnie\mckinal01,SF,28,LAL,18,84,,22%,74%,3%,,-11.3,-17.1,1,0,2,0,4,4,2,0,2
305,Jordan McLaughlin\mclaujo01,PG,24,MIN,24,467,100%,,,,,-9.6,-0.7,17,7,10,1,3,8,272,1,17
306,Ben McLemore\mclembe01,SG,27,HOU,24,372,76%,24%,,,,-9.4,-5.2,13,7,17,3,9,1,55,2,6
307,Nicolò Melli\mellini01,PF,30,NOP,17,186,,,,93%,7%,7.6,9.2,3,2,16,1,2,0,43,0,2
308,De'Anthony Melton\meltode01,PG,22,MEM,20,408,18%,82%,1%,,,10.8,13.3,11,11,19,2,9,0,131,2,14
309,Sam Merrill\merrisa01,SG,24,MIL,13,77,16%,79%,5%,,,-9.3,-16.0,0,2,1,0,0,1,25,0,1
310,Chimezie Metu\metuch01,C,23,SAC,11,71,,,,,100%,-12.2,-6.8,2,2,6,2,4,1,11,1,1
311,Khris Middleton\middlkh01,SF,29,MIL,36,1203,,2%,76%,22%,,6.2,0.9,48,26,42,8,52,4,492,18,26
312,Darius Miller\milleda01,SF,30,OKC,12,111,24%,54%,22%,,,9.0,15.8,1,2,3,0,1,0,24,0,0
313,Patty Mills\millspa02,PG,32,SAS,32,824,100%,,,,,8.2,17.4,21,8,14,2,13,15,201,4,11
314,Paul Millsap\millspa01,PF,35,DEN,26,621,,,4%,92%,4%,3.0,-3.0,14,7,34,2,25,3,101,5,7
315,Shake Milton\miltosh01,SG,24,PHI,28,703,2%,39%,49%,10%,,3.6,-0.3,22,10,30,3,45,8,204,10,24
316,Donovan Mitchell\mitchdo01,SG,24,UTA,34,1154,60%,40%,,,,8.0,-2.6,61,31,30,5,76,7,455,21,32
317,Adam Mokoka\mokokad01,SG,22,CHI,7,42,14%,71%,15%,,,-8.1,-8.1,2,0,2,0,0,0,10,0,0
318,Malik Monk\monkma01,SG,22,CHO,22,499,6%,64%,30%,,,2.6,4.8,24,5,17,3,18,1,101,3,8
319,E'Twaun Moore\mooreet01,SG,31,PHO,22,334,30%,59%,10%,1%,,4.7,-2.5,7,3,10,4,4,1,81,0,10
320,Ja Morant\moranja01,PG,21,MEM,24,738,92%,8%,,,,0.2,-1.6,52,14,19,1,58,6,439,11,25
321,Juwan Morgan\morgaju01,PF,23,UTA,15,71,,,,34%,66%,-23.5,-33.8,1,0,10,1,1,0,10,1,0
322,Marcus Morris\morrima03,PF,31,LAC,28,684,,,1%,88%,12%,2.1,-6.1,14,8,27,1,17,7,63,5,6
323,Markieff Morris\morrima02,PF,31,LAL,31,539,,,,92%,9%,2.1,-4.0,7,3,17,4,13,7,79,3,3
324,Monte Morris\morrimo01,PG,25,DEN,35,949,66%,34%,,,,6.2,2.7,13,8,17,1,20,2,296,4,18
325,Mychal Mulder\muldemy01,PG,26,GSW,34,360,92%,9%,,,,5.2,6.0,4,2,13,1,7,2,34,1,2
326,Dejounte Murray\murrade01,PG,24,SAS,32,992,63%,37%,,,,3.1,8.1,25,18,21,4,28,4,409,8,27
327,Jamal Murray\murraja01,PG,23,DEN,34,1204,47%,42%,10%,1%,,8.3,10.5,35,31,32,7,42,17,373,6,18
328,Mike Muscala\muscami01,C,29,OKC,34,633,,,,,100%,-1.9,6.1,10,6,36,2,14,3,64,6,6
329,Sviatoslav Mykhailiuk\mykhasv01,SF,23,DET,35,608,,27%,72%,1%,,-2.4,2.3,17,9,6,4,8,6,117,1,8
330,Abdel Nader\naderab01,SF,27,PHO,19,273,,26%,64%,9%,1%,5.3,-1.7,4,3,11,3,13,4,34,2,4
331,Larry Nance Jr.\nancela02,PF,28,CLE,19,635,,1%,11%,88%,,-3.3,6.2,18,5,20,3,8,5,148,1,5
332,Aaron Nesmith\nesmiaa01,SF,21,BOS,18,281,,28%,63%,10%,,3.6,3.8,3,3,17,1,4,3,16,1,4
333,Raul Neto\netora01,PG,28,WAS,29,591,92%,8%,,,,-2.2,3.5,13,5,26,0,14,18,147,3,16
334,Georges Niang\niangge01,PF,27,UTA,36,481,,,6%,94%,,12.6,5.2,11,3,26,4,3,2,58,1,3
335,Zeke Nnaji\nnajize01,PF,20,DEN,23,248,,,3%,83%,14%,-2.6,-8.8,2,0,10,1,4,0,7,1,4
336,Nerlens Noel\noelne01,C,26,NYK,32,710,,,,,100%,-0.1,-1.2,11,16,45,5,14,6,45,3,2
337,Jaylen Nowell\nowelja01,SG,21,MIN,22,367,2%,76%,22%,,,-9.3,-0.4,5,4,21,0,16,2,58,2,8
338,Frank Ntilikina\ntilila01,PG,22,NYK,9,127,42%,58%,,,,-4.6,-5.6,4,1,8,0,1,3,17,0,1
339,Kendrick Nunn\nunnke01,PG,25,MIA,28,839,100%,,,,,-1.9,-1.1,30,11,27,6,15,1,170,5,18
340,Jusuf Nurkić\nurkiju01,C,26,POR,12,280,,,,,100%,2.9,4.1,12,2,15,6,12,3,78,1,11
341,David Nwaba\nwabada01,SF,28,HOU,28,642,,10%,43%,40%,7%,0.4,9.6,5,9,25,1,36,12,71,12,24
342,Jordan Nwora\nworajo01,SF,22,MIL,10,82,,,40%,60%,,-2.1,-8.5,4,2,5,0,3,0,0,0,5
343,Royce O'Neale\onealro01,SF,27,UTA,36,1181,,28%,72%,1%,,10.0,3.6,20,6,51,4,11,18,252,2,6
344,Semi Ojeleye\ojelese01,PF,26,BOS,34,645,,,4%,94%,2%,0.3,-0.1,6,0,24,4,13,8,62,4,6
345,Jahlil Okafor\okafoja01,C,25,DET,12,120,,,,,100%,-13.3,-10.1,3,0,7,0,1,0,8,0,5
346,Chuma Okeke\okekech01,PF,22,ORL,20,437,,,24%,76%,,0.3,8.8,10,2,12,0,5,1,98,0,2
347,Josh Okogie\okogijo01,SG,22,MIN,29,558,,14%,80%,7%,,-10.2,-1.7,13,3,27,1,21,9,71,4,12
348,Onyeka Okongwu\okongon01,C,20,ATL,16,159,,,,12%,89%,-6.5,-7.9,1,2,15,4,8,1,12,3,5
349,Isaac Okoro\okorois01,SG,20,CLE,31,1030,5%,44%,51%,1%,,-8.3,-2.6,23,15,48,4,25,6,147,5,19
350,KZ Okpala\okpalkz01,PF,21,MIA,19,199,,,41%,59%,,-16.3,-16.9,5,1,8,3,3,0,17,0,5
351,Victor Oladipo\oladivi01,SG,28,TOT,24,786,7%,65%,28%,,,-1.4,1.5,24,18,21,7,38,17,270,9,33
351,Victor Oladipo\oladivi01,SG,28,IND,9,300,,60%,41%,,,4.4,4.9,9,6,8,2,15,8,89,4,11
351,Victor Oladipo\oladivi01,SG,28,HOU,15,486,11%,69%,20%,1%,,-4.7,0.9,15,12,13,5,23,9,181,5,22
352,Kelly Olynyk\olynyke01,C,29,MIA,35,927,,,,,100%,2.4,8.2,20,5,40,14,14,8,181,3,7
353,Miye Oni\onimi01,SG,23,UTA,26,206,21%,42%,36%,,,7.2,-1.9,5,1,13,0,2,1,17,0,2
354,Cedi Osman\osmande01,SF,25,CLE,35,904,,13%,70%,17%,,-10.3,-6.3,24,9,29,2,20,6,220,6,20
355,Daniel Oturu\oturuda01,C,21,LAC,10,42,,,,,100%,12.3,6.7,2,0,5,0,1,0,9,0,3
356,Kelly Oubre Jr.\oubreke01,SF,25,GSW,35,1062,,33%,42%,24%,1%,-2.4,-7.2,14,16,39,8,50,16,113,11,30
357,Jabari Parker\parkeja01,PF,25,SAC,2,25,,,,80%,20%,-30.1,-24.8,1,1,2,0,0,1,2,0,0
358,Eric Paschall\pascher01,PF,24,GSW,34,599,,,,29%,71%,-5.5,-8.9,7,12,27,12,45,2,115,13,22
359,Anžejs Pasečņiks\pasecan01,C,25,WAS,1,6,,,,,100%,-100.0,-95.9,2,1,0,2,0,0,2,0,0
360,Patrick Patterson\pattepa01,PF,31,LAC,10,130,,,2%,78%,20%,-1.5,-7.9,4,1,4,0,1,0,13,0,0
361,Justin Patton\pattoju01,C,23,HOU,6,128,,,,,100%,-11.9,-7.1,2,0,15,0,2,0,13,0,3
362,Chris Paul\paulch01,PG,35,PHO,34,1080,100%,,,,,7.4,1.8,56,14,35,7,15,8,717,4,6
363,Cameron Payne\payneca01,PG,26,PHO,24,394,97%,3%,,,,10.6,5.0,18,3,18,2,7,10,217,1,5
364,Elfrid Payton\paytoel01,PG,26,NYK,33,932,96%,4%,,,,-1.5,-4.4,36,12,23,4,36,3,281,12,43
365,Norvel Pelle\pelleno01,C,27,TOT,4,32,,,,,100%,-15.0,-15.1,1,0,6,2,0,0,2,0,2
365,Norvel Pelle\pelleno01,C,27,BRK,3,28,,,,,100%,-18.9,-24.6,1,0,5,2,0,0,0,0,1
365,Norvel Pelle\pelleno01,C,27,SAC,1,4,,,,,100%,11.1,16.7,0,0,1,0,0,0,2,0,1
366,Reggie Perry\perryre01,PF,20,BRK,14,147,,,5%,61%,34%,-5.3,-11.5,5,3,16,3,4,1,27,2,7
367,Theo Pinson\pinsoth01,SG,25,NYK,11,25,4%,50%,47%,,,-36.8,-38.0,0,0,1,0,0,0,3,0,0
368,Mason Plumlee\plumlma01,C,30,DET,34,953,,,,,100%,-6.0,-4.5,38,19,66,7,40,3,324,7,23
369,Jakob Poeltl\poeltja01,C,25,SAS,32,750,,,,,100%,8.0,15.2,15,5,45,14,22,2,130,9,12
370,Vincent Poirier\poirivi01,C,27,PHI,6,22,,,,,100%,-26.1,-30.3,1,0,2,0,1,0,3,0,0
371,Aleksej Pokusevski\pokusal01,PF,19,OKC,17,296,,,2%,81%,17%,-13.6,-9.5,12,4,14,1,0,1,50,0,1
372,Jordan Poole\poolejo01,SG,21,GSW,16,170,,63%,34%,3%,,-3.1,-4.0,2,3,7,0,7,2,32,1,1
373,Michael Porter Jr.\portemi01,SF,22,DEN,26,744,,,58%,42%,,5.3,0.7,8,6,38,5,22,0,51,6,8
374,Otto Porter\porteot01,SF,27,CHI,16,372,,4%,48%,48%,,-4.9,-6.1,7,4,9,3,12,1,74,4,3
375,Bobby Portis\portibo01,C,25,MIL,36,776,,,,19%,81%,8.0,3.7,6,8,47,8,17,1,97,5,21
376,Kristaps Porziņģis\porzikr01,C,25,DAL,20,602,,,,,100%,-3.6,-4.9,9,7,38,3,36,3,66,8,16
377,Dwight Powell\poweldw01,C,29,DAL,23,346,,,,6%,94%,3.5,5.1,3,3,26,8,27,7,47,2,8
378,Norman Powell\powelno01,SG,27,TOR,34,1006,2%,57%,41%,,,1.7,1.0,21,22,26,8,57,7,152,13,33
379,Taurean Prince\princta02,PF,26,TOT,29,620,,,39%,61%,,-6.1,-6.4,19,5,25,3,17,7,113,2,8
379,Taurean Prince\princta02,PF,26,BRK,12,218,,,71%,29%,,-2.8,-9.3,7,2,7,2,10,2,17,2,3
379,Taurean Prince\princta02,PF,26,CLE,17,402,,,22%,78%,,-7.9,-0.8,12,3,18,1,7,5,96,0,5
380,Payton Pritchard\pritcpa01,SG,23,BOS,30,641,34%,64%,3%,,,0.4,0.1,14,6,26,2,9,3,164,3,11
381,Immanuel Quickley\quickim01,PG,21,NYK,33,619,81%,19%,,,,2.2,2.4,16,6,22,3,34,3,191,9,13
382,Jahmi'us Ramsey\ramseja01,SG,19,SAC,4,16,19%,81%,,,,22.5,28.4,1,0,0,0,0,0,3,0,0
383,Chasson Randle\randlch01,PG,27,ORL,8,151,100%,,,,,-13.7,-8.1,4,1,12,1,4,3,56,1,2
384,Julius Randle\randlju01,PF,26,NYK,37,1358,,,,93%,7%,1.9,5.6,55,27,34,20,94,4,515,29,37
385,Cam Reddish\reddica01,SF,21,ATL,26,750,,27%,72%,1%,,-3.0,-6.4,12,14,34,4,39,4,83,4,22
386,J.J. Redick\redicjj01,SG,36,NOP,31,576,18%,81%,1%,,,-4.1,-5.2,9,8,23,6,17,11,88,7,7
387,Paul Reed\reedpa01,PF,21,PHI,5,55,,,25%,75%,,14.5,11.1,1,3,3,0,0,0,8,0,6
388,Naz Reid\reidna01,C,21,MIN,34,699,,,,2%,99%,-13.6,-7.6,15,10,69,9,41,9,106,9,19
389,Nick Richards\richani01,PF,23,CHO,8,23,,,,11%,89%,36.7,37.9,0,0,0,0,3,0,0,0,1
390,Josh Richardson\richajo01,SG,27,DAL,25,788,,80%,20%,,,-2.1,-3.2,15,11,31,2,21,12,161,6,8
391,Austin Rivers\riverau01,SG,28,NYK,21,442,8%,92%,,,,-3.8,-5.8,7,5,12,5,6,8,107,0,6
392,Andre Roberson\roberan03,SG,29,BRK,5,63,,,38%,62%,,-12.7,-18.6,0,1,0,1,1,0,9,0,2
393,Duncan Robinson\robindu01,SF,26,MIA,36,1202,,34%,38%,28%,,-0.7,2.0,23,5,44,10,17,6,137,5,6
394,Glenn Robinson III\robingl02,SF,27,SAC,23,369,,1%,60%,39%,,-16.1,-13.4,3,6,12,0,9,1,50,1,8
395,Jerome Robinson\robinje01,SG,23,WAS,13,221,17%,70%,12%,1%,,-15.0,-12.2,8,1,13,1,10,6,43,3,2
396,Mitchell Robinson\robinmi01,C,22,NYK,27,778,,,,,100%,-1.5,-3.7,0,9,49,11,24,2,30,4,11
397,Isaiah Roby\robyis01,PF,22,OKC,30,640,,,6%,42%,52%,-6.0,-0.3,18,11,44,5,28,5,127,5,13
398,Rajon Rondo\rondora01,PG,34,ATL,20,300,81%,19%,,,,-8.7,-11.3,18,5,4,3,1,2,178,0,6
399,Derrick Rose\rosede01,PG,32,TOT,25,588,100%,,,,,-0.2,1.7,21,20,11,3,37,5,276,6,17
399,Derrick Rose\rosede01,PG,32,DET,15,342,100%,,,,,-10.6,-8.4,8,14,7,3,24,2,156,3,10
399,Derrick Rose\rosede01,PG,32,NYK,10,246,100%,,,,,14.5,16.2,13,6,4,0,13,3,120,3,7
400,Terrence Ross\rosste01,SG,29,ORL,35,1032,19%,71%,11%,,,-7.8,-3.8,25,17,26,9,36,3,190,7,21
